zoned_school_name,current_placement,share_diverted
BARRINGTON MIDDLE SCHOOL,Choice,0.064
BARRINGTON MIDDLE SCHOOL,Magnet,0.0515
BARRINGTON MIDDLE SCHOOL,Neighborhood,0.0028
BARRINGTON MIDDLE SCHOOL,Stay,0.8227
BAY CREST ELEMENTARY,Charter,0.2093
BAY CREST ELEMENTARY,Choice,0.1278
BAY CREST ELEMENTARY,ESE Placed,0.0023
BAY CREST ELEMENTARY,Magnet,0.0328
BAY CREST ELEMENTARY,Neighborhood,0.0588
BAY CREST ELEMENTARY,Stay,0.569
BELLAMY ELEMENTARY,Charter,0.2653
BELLAMY ELEMENTARY,Choice,0.108
BELLAMY ELEMENTARY,ESE Placed,0.0024
BELLAMY ELEMENTARY,Magnet,0.0132
BELLAMY ELEMENTARY,Neighborhood,0.048
BELLAMY ELEMENTARY,Stay,0.563
BELMONT ELEMENTARY SCHOOL,Charter,0.2714
BELMONT ELEMENTARY SCHOOL,Choice,0.0444
BELMONT ELEMENTARY SCHOOL,ESE Placed,6e-4
BELMONT ELEMENTARY SCHOOL,Magnet,0.0736
BELMONT ELEMENTARY SCHOOL,Neighborhood,0.0368
BELMONT ELEMENTARY SCHOOL,Stay,0.5732
BENITO MIDDLE SCHOOL,Charter,0.1662
BENITO MIDDLE SCHOOL,Choice,0.0406
BENITO MIDDLE SCHOOL,Hope Sch,0.0015
BENITO MIDDLE SCHOOL,Magnet,0.0755
BENITO MIDDLE SCHOOL,Neighborhood,0.0327
BENITO MIDDLE SCHOOL,Stay,0.6836
BEVIS ELEMENTARY,Charter,0.0143
BEVIS ELEMENTARY,Choice,0.0254
BEVIS ELEMENTARY,Magnet,0.0016
BEVIS ELEMENTARY,Neighborhood,0.0206
BEVIS ELEMENTARY,Stay,0.9381
BING ELEMENTARY,Charter,0.1951
BING ELEMENTARY,Choice,0.0917
BING ELEMENTARY,ESE Placed,0.0029
BING ELEMENTARY,Magnet,0.032
BING ELEMENTARY,Neighborhood,0.0422
BING ELEMENTARY,Stay,0.6361
BLAKE HIGH SCHOOL,Charter,0.0616
BLAKE HIGH SCHOOL,Choice,0.0827
BLAKE HIGH SCHOOL,Hope Sch,0.0062
BLAKE HIGH SCHOOL,Magnet,0.1566
BLAKE HIGH SCHOOL,Neighborhood,0.0361
BLAKE HIGH SCHOOL,Stay,0.657
BLOOMINGDALE HIGH SCHOOL,Charter,0.014
BLOOMINGDALE HIGH SCHOOL,Choice,0.0208
BLOOMINGDALE HIGH SCHOOL,Hope Sch,0.0012
BLOOMINGDALE HIGH SCHOOL,Magnet,0.0573
BLOOMINGDALE HIGH SCHOOL,Neighborhood,0.0088
BLOOMINGDALE HIGH SCHOOL,Stay,0.8978
BOYETTE SPRINGS ELEMENTARY,Charter,0.1986
BOYETTE SPRINGS ELEMENTARY,Choice,0.0693
BOYETTE SPRINGS ELEMENTARY,ESE Placed,0.0012
BOYETTE SPRINGS ELEMENTARY,Magnet,0.0129
BOYETTE SPRINGS ELEMENTARY,Neighborhood,0.0282
BOYETTE SPRINGS ELEMENTARY,Stay,0.6898
BRANDON HIGH SCHOOL,Charter,0.0348
BRANDON HIGH SCHOOL,Choice,0.0809
BRANDON HIGH SCHOOL,Hope Sch,0.0014
BRANDON HIGH SCHOOL,Magnet,0.2024
BRANDON HIGH SCHOOL,Neighborhood,0.016
BRANDON HIGH SCHOOL,Stay,0.6645
BROOKER ELEMENTARY,Charter,0.1766
BROOKER ELEMENTARY,Choice,0.10780000000000001
BROOKER ELEMENTARY,ESE Placed,0.001
BROOKER ELEMENTARY,Magnet,0.0185
BROOKER ELEMENTARY,Neighborhood,0.0308
BROOKER ELEMENTARY,Stay,0.6653
BROWARD ELEMENTARY,Charter,0.128
BROWARD ELEMENTARY,Choice,0.0863
BROWARD ELEMENTARY,Magnet,0.1815
BROWARD ELEMENTARY,Neighborhood,0.0893
BROWARD ELEMENTARY,Stay,0.5149
BRYAN PLANT CITY ELEMENTARY,Charter,0.0917
BRYAN PLANT CITY ELEMENTARY,Choice,0.0879
BRYAN PLANT CITY ELEMENTARY,ESE Placed,0.0013
BRYAN PLANT CITY ELEMENTARY,Magnet,0.0369
BRYAN PLANT CITY ELEMENTARY,Neighborhood,0.0357
BRYAN PLANT CITY ELEMENTARY,Stay,0.7465
BRYANT ELEMENTARY,Charter,0.0258
BRYANT ELEMENTARY,Choice,0.0168
BRYANT ELEMENTARY,Magnet,0.0052
BRYANT ELEMENTARY,Neighborhood,0.0103
BRYANT ELEMENTARY,Stay,0.942
BUCHANAN MIDDLE SCHOOL,Charter,0.1525
BUCHANAN MIDDLE SCHOOL,Choice,0.1934
BUCHANAN MIDDLE SCHOOL,District Assigned,0.001
BUCHANAN MIDDLE SCHOOL,Hope Sch,0.004
BUCHANAN MIDDLE SCHOOL,Magnet,0.0837
BUCHANAN MIDDLE SCHOOL,Neighborhood,0.0169
BUCHANAN MIDDLE SCHOOL,Stay,0.5484
BUCKHORN ELEMENTARY,Charter,0.0846
BUCKHORN ELEMENTARY,Choice,0.092
BUCKHORN ELEMENTARY,Magnet,0.0074
BUCKHORN ELEMENTARY,Neighborhood,0.0326
BUCKHORN ELEMENTARY,Stay,0.7834
BURNETT MIDDLE SCHOOL,Charter,0.1529
BURNETT MIDDLE SCHOOL,Choice,0.0647
BURNETT MIDDLE SCHOOL,Hope Sch,0.0024
BURNETT MIDDLE SCHOOL,Magnet,0.1624
BURNETT MIDDLE SCHOOL,Neighborhood,0.0176
BURNETT MIDDLE SCHOOL,Stay,0.6
BURNEY ELEMENTARY,Charter,0.1124
BURNEY ELEMENTARY,Choice,0.1262
BURNEY ELEMENTARY,Magnet,0.0927
BURNEY ELEMENTARY,Neighborhood,0.0414
BURNEY ELEMENTARY,Stay,0.6272
BURNS MIDDLE SCHOOL,Charter,0.0767
BURNS MIDDLE SCHOOL,Choice,0.0387
BURNS MIDDLE SCHOOL,Hope Sch,8e-4
BURNS MIDDLE SCHOOL,Magnet,0.0495
BURNS MIDDLE SCHOOL,Neighborhood,0.0058
BURNS MIDDLE SCHOOL,Stay,0.8285
CANNELLA ELEMENTARY,Charter,0.2345
CANNELLA ELEMENTARY,Choice,0.0935
CANNELLA ELEMENTARY,Magnet,0.0224
CANNELLA ELEMENTARY,Neighborhood,0.029
CANNELLA ELEMENTARY,Stay,0.6206
CARROLLWOOD K-8 SCHOOL,Charter,0.1513
CARROLLWOOD K-8 SCHOOL,Choice,0.0817
CARROLLWOOD K-8 SCHOOL,"DistrictAssigned",0.0013
CARROLLWOOD K-8 SCHOOL,ESE Placed,0.0027
CARROLLWOOD K-8 SCHOOL,Magnet,0.0602
CARROLLWOOD K-8 SCHOOL,Neighborhood,0.0415
CARROLLWOOD K-8 SCHOOL,Stay,0.6613
CHAMBERLAIN HIGH SCHOOL,Charter,0.1069
CHAMBERLAIN HIGH SCHOOL,Choice,0.1253
CHAMBERLAIN HIGH SCHOOL,Hope Sch,0.0026
CHAMBERLAIN HIGH SCHOOL,Magnet,0.1627
CHAMBERLAIN HIGH SCHOOL,Neighborhood,0.0205
CHAMBERLAIN HIGH SCHOOL,Stay,0.5819
CHIARAMONTE ELEMENTARY,Charter,0.034
CHIARAMONTE ELEMENTARY,Choice,0.1509
CHIARAMONTE ELEMENTARY,ESE Placed,0.0038
CHIARAMONTE ELEMENTARY,Magnet,0.0755
CHIARAMONTE ELEMENTARY,Neighborhood,0.0566
CHIARAMONTE ELEMENTARY,Stay,0.6792
CHILES ELEMENTARY,Charter,0.0543
CHILES ELEMENTARY,Choice,0.0471
CHILES ELEMENTARY,Magnet,0.0205
CHILES ELEMENTARY,Neighborhood,0.0447
CHILES ELEMENTARY,Stay,0.8333
CIMINO ELEMENTARY,Charter,0.104
CIMINO ELEMENTARY,Choice,0.0834
CIMINO ELEMENTARY,Magnet,0.0014
CIMINO ELEMENTARY,Neighborhood,0.0137
CIMINO ELEMENTARY,Stay,0.7975
CITRUS PARK ELEMENTARY,Charter,0.217
CITRUS PARK ELEMENTARY,Choice,0.1572
CITRUS PARK ELEMENTARY,ESE Placed,0.0063
CITRUS PARK ELEMENTARY,Magnet,0.0299
CITRUS PARK ELEMENTARY,Neighborhood,0.0252
CITRUS PARK ELEMENTARY,Stay,0.5645
CLAIR MEL ELEMENTARY,Charter,0.1316
CLAIR MEL ELEMENTARY,Choice,0.074
CLAIR MEL ELEMENTARY,Magnet,0.023
CLAIR MEL ELEMENTARY,Neighborhood,0.0691
CLAIR MEL ELEMENTARY,Stay,0.7023
CLARK ELEMENTARY,Charter,0.0235
CLARK ELEMENTARY,Choice,0.0483
CLARK ELEMENTARY,Magnet,0.0099
CLARK ELEMENTARY,Neighborhood,0.0223
CLARK ELEMENTARY,Stay,0.896
CLAYWELL ELEMENTARY,Charter,0.1421
CLAYWELL ELEMENTARY,Choice,0.112
CLAYWELL ELEMENTARY,Magnet,0.0164
CLAYWELL ELEMENTARY,Neighborhood,0.0205
CLAYWELL ELEMENTARY,Stay,0.709
CLEVELAND ELEMENTARY,Charter,0.1115
CLEVELAND ELEMENTARY,Choice,0.1242
CLEVELAND ELEMENTARY,"DistrictAssigned",0.0032
CLEVELAND ELEMENTARY,Magnet,0.121
CLEVELAND ELEMENTARY,Neighborhood,0.121
CLEVELAND ELEMENTARY,Stay,0.5191
COLEMAN MIDDLE SCHOOL,Charter,0.0071
COLEMAN MIDDLE SCHOOL,Choice,0.003
COLEMAN MIDDLE SCHOOL,Magnet,0.0536
COLEMAN MIDDLE SCHOOL,Neighborhood,0.0061
COLEMAN MIDDLE SCHOOL,Stay,0.9302
COLLINS PK-8 SCHOOL,Charter,0.1479
COLLINS PK-8 SCHOOL,Choice,0.027
COLLINS PK-8 SCHOOL,Magnet,0.043
COLLINS PK-8 SCHOOL,Neighborhood,0.0237
COLLINS PK-8 SCHOOL,Stay,0.7583
COLSON ELEMENTARY,Charter,0.1007
COLSON ELEMENTARY,Choice,0.1124
COLSON ELEMENTARY,Magnet,0.0319
COLSON ELEMENTARY,Neighborhood,0.0436
COLSON ELEMENTARY,Stay,0.7114
CORK ELEMENTARY,Charter,0.0895
CORK ELEMENTARY,Choice,0.0617
CORK ELEMENTARY,ESE Placed,0.0015
CORK ELEMENTARY,Magnet,0.0231
CORK ELEMENTARY,Neighborhood,0.037
CORK ELEMENTARY,Stay,0.787
CORR ELEMENTARY,Charter,0.3217
CORR ELEMENTARY,Choice,0.0717
CORR ELEMENTARY,ESE Placed,9e-4
CORR ELEMENTARY,Magnet,0.0481
CORR ELEMENTARY,Neighborhood,0.0179
CORR ELEMENTARY,Stay,0.5396
CRESTWOOD ELEMENTARY,Charter,0.174
CRESTWOOD ELEMENTARY,Choice,0.1368
CRESTWOOD ELEMENTARY,Magnet,0.0279
CRESTWOOD ELEMENTARY,Neighborhood,0.0617
CRESTWOOD ELEMENTARY,Stay,0.5997
CYPRESS CREEK ELEMENTARY,Charter,0.3655
CYPRESS CREEK ELEMENTARY,Choice,0.0609
CYPRESS CREEK ELEMENTARY,ESE Placed,0.0011
CYPRESS CREEK ELEMENTARY,Magnet,0.0399
CYPRESS CREEK ELEMENTARY,Neighborhood,0.0362
CYPRESS CREEK ELEMENTARY,Stay,0.4963
DAVIDSEN MIDDLE SCHOOL,Charter,0.0917
DAVIDSEN MIDDLE SCHOOL,Choice,0.0594
DAVIDSEN MIDDLE SCHOOL,Magnet,0.1362
DAVIDSEN MIDDLE SCHOOL,Neighborhood,0.0087
DAVIDSEN MIDDLE SCHOOL,Stay,0.7039
DAVIS ELEMENTARY,Charter,0.1978
DAVIS ELEMENTARY,Choice,0.105
DAVIS ELEMENTARY,ESE Placed,0.0014
DAVIS ELEMENTARY,Magnet,0.0068
DAVIS ELEMENTARY,Neighborhood,0.0491
DAVIS ELEMENTARY,Stay,0.6398
DAWSON ELEMENTARY,Charter,0.207
DAWSON ELEMENTARY,Choice,0.0725
DAWSON ELEMENTARY,Magnet,0.016
DAWSON ELEMENTARY,Neighborhood,0.0383
DAWSON ELEMENTARY,Stay,0.6662
DEER PARK ELEMENTARY,Charter,0.0568
DEER PARK ELEMENTARY,Choice,0.0549
DEER PARK ELEMENTARY,"DistrictAssigned",0.001
DEER PARK ELEMENTARY,ESE Placed,0.001
DEER PARK ELEMENTARY,Magnet,0.0058
DEER PARK ELEMENTARY,Neighborhood,0.025
DEER PARK ELEMENTARY,Stay,0.8555
DESOTO ELEMENTARY,Charter,0.0751
DESOTO ELEMENTARY,Choice,0.0231
DESOTO ELEMENTARY,Magnet,0.0636
DESOTO ELEMENTARY,Neighborhood,0.0347
DESOTO ELEMENTARY,Stay,0.8035
DICKENSON ELEMENTARY,Charter,0.1319
DICKENSON ELEMENTARY,Choice,0.0666
DICKENSON ELEMENTARY,ESE Placed,0.0012
DICKENSON ELEMENTARY,Magnet,0.0456
DICKENSON ELEMENTARY,Neighborhood,0.0518
DICKENSON ELEMENTARY,Stay,0.7028
DOBY ELEMENTARY,Charter,0.2677
DOBY ELEMENTARY,Choice,0.0387
DOBY ELEMENTARY,ESE Placed,0.0022
DOBY ELEMENTARY,Magnet,0.2699
DOBY ELEMENTARY,Neighborhood,0.0277
DOBY ELEMENTARY,Stay,0.3939
DOVER ELEMENTARY,Charter,0.0709
DOVER ELEMENTARY,Choice,0.095
DOVER ELEMENTARY,Magnet,0.0032
DOVER ELEMENTARY,Neighborhood,0.0338
DOVER ELEMENTARY,Stay,0.7971
DOWDELL MIDDLE SCHOOL,Charter,0.1772
DOWDELL MIDDLE SCHOOL,Choice,0.0131
DOWDELL MIDDLE SCHOOL,ESE Center,0.0037
DOWDELL MIDDLE SCHOOL,Hope Sch,0.0037
DOWDELL MIDDLE SCHOOL,Magnet,0.1231
DOWDELL MIDDLE SCHOOL,Neighborhood,0.0354
DOWDELL MIDDLE SCHOOL,Stay,0.6437
DURANT HIGH SCHOOL,Charter,0.0058
DURANT HIGH SCHOOL,Choice,0.0275
DURANT HIGH SCHOOL,Hope Sch,4e-4
DURANT HIGH SCHOOL,Magnet,0.0424
DURANT HIGH SCHOOL,Neighborhood,0.0104
DURANT HIGH SCHOOL,Stay,0.9135
EAST BAY HIGH SCHOOL,Charter,0.1295
EAST BAY HIGH SCHOOL,Choice,0.065
EAST BAY HIGH SCHOOL,Hope Sch,0.0019
EAST BAY HIGH SCHOOL,Magnet,0.1211
EAST BAY HIGH SCHOOL,Neighborhood,0.0092
EAST BAY HIGH SCHOOL,Stay,0.6733
EDISON ELEMENTARY,Charter,0.0608
EDISON ELEMENTARY,Choice,0.1003
EDISON ELEMENTARY,Magnet,0.1854
EDISON ELEMENTARY,Neighborhood,0.0699
EDISON ELEMENTARY,Stay,0.5836
EGYPT LAKE ELEMENTARY,Charter,0.0815
EGYPT LAKE ELEMENTARY,Choice,0.06
EGYPT LAKE ELEMENTARY,Magnet,0.0144
EGYPT LAKE ELEMENTARY,Neighborhood,0.0504
EGYPT LAKE ELEMENTARY,Stay,0.7938
EISENHOWER MIDDLE SCHOOL,Charter,0.3367
EISENHOWER MIDDLE SCHOOL,Choice,0.0229
EISENHOWER MIDDLE SCHOOL,Hope Sch,0.0014
EISENHOWER MIDDLE SCHOOL,Magnet,0.2172
EISENHOWER MIDDLE SCHOOL,Neighborhood,0.0087
EISENHOWER MIDDLE SCHOOL,Stay,0.4131
ESSRIG ELEMENTARY,Charter,0.1757
ESSRIG ELEMENTARY,Choice,0.0958
ESSRIG ELEMENTARY,Magnet,0.0224
ESSRIG ELEMENTARY,Neighborhood,0.0288
ESSRIG ELEMENTARY,Stay,0.6773
FARNELL MIDDLE SCHOOL,Charter,0.046
FARNELL MIDDLE SCHOOL,Choice,0.004
FARNELL MIDDLE SCHOOL,Magnet,0.0777
FARNELL MIDDLE SCHOOL,Neighborhood,0.0055
FARNELL MIDDLE SCHOOL,Stay,0.8669
FISHHAWK CREEK ELEMENTARY,Charter,0.0209
FISHHAWK CREEK ELEMENTARY,Choice,0.0801
FISHHAWK CREEK ELEMENTARY,Magnet,0.0027
FISHHAWK CREEK ELEMENTARY,Neighborhood,0.0127
FISHHAWK CREEK ELEMENTARY,Stay,0.8835
FOLSOM ELEMENTARY,Charter,0.1382
FOLSOM ELEMENTARY,Choice,0.0802
FOLSOM ELEMENTARY,Magnet,0.1144
FOLSOM ELEMENTARY,Neighborhood,0.0654
FOLSOM ELEMENTARY,Stay,0.6018
FOREST HILLS ELEMENTARY,Charter,0.116
FOREST HILLS ELEMENTARY,Choice,0.1362
FOREST HILLS ELEMENTARY,"DistrictAssigned",0.0011
FOREST HILLS ELEMENTARY,Magnet,0.0511
FOREST HILLS ELEMENTARY,Neighborhood,0.0521
FOREST HILLS ELEMENTARY,Stay,0.6436
FOSTER ELEMENTARY,Charter,0.1152
FOSTER ELEMENTARY,Choice,0.1207
FOSTER ELEMENTARY,ESE Placed,0.0018
FOSTER ELEMENTARY,Magnet,0.1335
FOSTER ELEMENTARY,Neighborhood,0.0713
FOSTER ELEMENTARY,Stay,0.5576
FREEDOM HIGH SCHOOL,Charter,0.125
FREEDOM HIGH SCHOOL,Choice,0.0502
FREEDOM HIGH SCHOOL,Hope Sch,0.0012
FREEDOM HIGH SCHOOL,Magnet,0.1364
FREEDOM HIGH SCHOOL,Neighborhood,0.0094
FREEDOM HIGH SCHOOL,Stay,0.6778
FROST ELEMENTARY,Charter,0.3018
FROST ELEMENTARY,Choice,0.0814
FROST ELEMENTARY,ESE Placed,0.0012
FROST ELEMENTARY,Magnet,0.0431
FROST ELEMENTARY,Neighborhood,0.0359
FROST ELEMENTARY,Stay,0.5365
GAITHER HIGH SCHOOL,Charter,0.039
GAITHER HIGH SCHOOL,Choice,0.0172
GAITHER HIGH SCHOOL,Magnet,0.0473
GAITHER HIGH SCHOOL,Neighborhood,0.0109
GAITHER HIGH SCHOOL,Stay,0.8857
GIBSONTON ELEMENTARY,Charter,0.183
GIBSONTON ELEMENTARY,Choice,0.0759
GIBSONTON ELEMENTARY,ESE Placed,0.0015
GIBSONTON ELEMENTARY,Magnet,0.0193
GIBSONTON ELEMENTARY,Neighborhood,0.0476
GIBSONTON ELEMENTARY,Stay,0.6726
GIUNTA MIDDLE SCHOOL,Charter,0.2755
GIUNTA MIDDLE SCHOOL,Choice,0.0382
GIUNTA MIDDLE SCHOOL,District Assigned,0.001
GIUNTA MIDDLE SCHOOL,Hope Sch,0.001
GIUNTA MIDDLE SCHOOL,Magnet,0.2556
GIUNTA MIDDLE SCHOOL,Neighborhood,0.0115
GIUNTA MIDDLE SCHOOL,Stay,0.417
GORRIE ELEMENTARY,Charter,0.0039
GORRIE ELEMENTARY,Choice,0.0117
GORRIE ELEMENTARY,"DistrictAssigned",0.0019
GORRIE ELEMENTARY,Magnet,0.0117
GORRIE ELEMENTARY,Neighborhood,0.0194
GORRIE ELEMENTARY,Stay,0.9515
GRADY ELEMENTARY,Charter,0.0167
GRADY ELEMENTARY,Choice,0.0037
GRADY ELEMENTARY,Magnet,0.039
GRADY ELEMENTARY,Neighborhood,0.0241
GRADY ELEMENTARY,Stay,0.9165
GRAHAM ELEMENTARY,Charter,0.1402
GRAHAM ELEMENTARY,Choice,0.069
GRAHAM ELEMENTARY,"DistrictAssigned",0.0021
GRAHAM ELEMENTARY,Magnet,0.2594
GRAHAM ELEMENTARY,Neighborhood,0.1757
GRAHAM ELEMENTARY,Stay,0.3536
GRECO MIDDLE MAGNET SCHOOL,Charter,0.2014
GRECO MIDDLE MAGNET SCHOOL,Choice,0.0724
GRECO MIDDLE MAGNET SCHOOL,Hope Sch,0.0041
GRECO MIDDLE MAGNET SCHOOL,Magnet,0.2655
GRECO MIDDLE MAGNET SCHOOL,Neighborhood,0.0239
GRECO MIDDLE MAGNET SCHOOL,Stay,0.4328
HAMMOND ELEMENTARY,Assigned,0.0031
HAMMOND ELEMENTARY,Charter,0.061
HAMMOND ELEMENTARY,Choice,0.0814
HAMMOND ELEMENTARY,Magnet,0.011
HAMMOND ELEMENTARY,Neighborhood,0.011
HAMMOND ELEMENTARY,Stay,0.8326
HERITAGE ELEMENTARY,Charter,0.0365
HERITAGE ELEMENTARY,Choice,0.125
HERITAGE ELEMENTARY,Magnet,0.0174
HERITAGE ELEMENTARY,Neighborhood,0.0243
HERITAGE ELEMENTARY,Stay,0.7969
HILL MIDDLE SCHOOL,Charter,0.1108
HILL MIDDLE SCHOOL,Choice,0.0337
HILL MIDDLE SCHOOL,District Assigned,0.001
HILL MIDDLE SCHOOL,Hope Sch,0.001
HILL MIDDLE SCHOOL,Magnet,0.2592
HILL MIDDLE SCHOOL,Neighborhood,0.0116
HILL MIDDLE SCHOOL,Stay,0.5829
HILLSBOROUGH HIGH SCHOOL,Charter,0.0815
HILLSBOROUGH HIGH SCHOOL,Choice,0.053900000000000003
HILLSBOROUGH HIGH SCHOOL,Hope Sch,0.0023
HILLSBOROUGH HIGH SCHOOL,Magnet,0.1388
HILLSBOROUGH HIGH SCHOOL,Neighborhood,0.0212
HILLSBOROUGH HIGH SCHOOL,Stay,0.7022
HUNTER'S GREEN ELEMENTARY,Charter,0.0415
HUNTER'S GREEN ELEMENTARY,Choice,0.0326
HUNTER'S GREEN ELEMENTARY,Magnet,0.0045
HUNTER'S GREEN ELEMENTARY,Neighborhood,0.0178
HUNTER'S GREEN ELEMENTARY,Stay,0.9036
IPPOLITO ELEMENTARY,Charter,0.354
IPPOLITO ELEMENTARY,Choice,0.1465
IPPOLITO ELEMENTARY,Magnet,0.0366
IPPOLITO ELEMENTARY,Neighborhood,0.0582
IPPOLITO ELEMENTARY,Stay,0.4047
JACKSON ELEMENTARY,Charter,0.1022
JACKSON ELEMENTARY,Choice,0.1188
JACKSON ELEMENTARY,Magnet,0.1405
JACKSON ELEMENTARY,Neighborhood,0.1009
JACKSON ELEMENTARY,Stay,0.5377
JAMES ELEMENTARY,Charter,0.126
JAMES ELEMENTARY,Choice,0.126
JAMES ELEMENTARY,ESE Placed,0.0015
JAMES ELEMENTARY,Magnet,0.1413
JAMES ELEMENTARY,Neighborhood,0.1183
JAMES ELEMENTARY,Stay,0.4869
JEFFERSON HIGH SCHOOL,Charter,0.0282
JEFFERSON HIGH SCHOOL,Choice,0.0474
JEFFERSON HIGH SCHOOL,Magnet,0.0924
JEFFERSON HIGH SCHOOL,Neighborhood,0.0124
JEFFERSON HIGH SCHOOL,Stay,0.8196
JENNINGS MIDDLE SCHOOL,Charter,0.1114
JENNINGS MIDDLE SCHOOL,Choice,0.0585
JENNINGS MIDDLE SCHOOL,Hope Sch,0.0024
JENNINGS MIDDLE SCHOOL,Magnet,0.2155
JENNINGS MIDDLE SCHOOL,Neighborhood,0.0184
JENNINGS MIDDLE SCHOOL,Stay,0.5938
KENLY ELEMENTARY,Charter,0.1047
KENLY ELEMENTARY,Choice,0.1132
KENLY ELEMENTARY,Magnet,0.103
KENLY ELEMENTARY,Neighborhood,0.0743
KENLY ELEMENTARY,Stay,0.6047
KIMBELL ELEMENTARY,Charter,0.1655
KIMBELL ELEMENTARY,Choice,0.1028
KIMBELL ELEMENTARY,Magnet,0.1115
KIMBELL ELEMENTARY,Neighborhood,0.0958
KIMBELL ELEMENTARY,Stay,0.5244
KING HIGH SCHOOL,Charter,0.1435
KING HIGH SCHOOL,Choice,0.0736
KING HIGH SCHOOL,Hope Sch,0.0033
KING HIGH SCHOOL,Magnet,0.2836
KING HIGH SCHOOL,Neighborhood,0.0163
KING HIGH SCHOOL,Stay,0.4797
KINGSWOOD ELEMENTARY,Charter,0.2184
KINGSWOOD ELEMENTARY,Choice,0.1418
KINGSWOOD ELEMENTARY,ESE Placed,0.0028
KINGSWOOD ELEMENTARY,Magnet,0.0312
KINGSWOOD ELEMENTARY,Neighborhood,0.0511
KINGSWOOD ELEMENTARY,Stay,0.5546
KNIGHTS ELEMENTARY,Charter,0.0702
KNIGHTS ELEMENTARY,Choice,0.0946
KNIGHTS ELEMENTARY,Magnet,0.0559
KNIGHTS ELEMENTARY,Neighborhood,0.0372
KNIGHTS ELEMENTARY,Stay,0.7421
LAKE MAGDALENE ELEMENTARY,Charter,0.2329
LAKE MAGDALENE ELEMENTARY,Choice,0.1287
LAKE MAGDALENE ELEMENTARY,Magnet,0.0347
LAKE MAGDALENE ELEMENTARY,Neighborhood,0.0322
LAKE MAGDALENE ELEMENTARY,Stay,0.5714
LAMB ELEMENTARY,Charter,0.2984
LAMB ELEMENTARY,Choice,0.1649
LAMB ELEMENTARY,Magnet,0.0519
LAMB ELEMENTARY,Neighborhood,0.0561
LAMB ELEMENTARY,Stay,0.4287
LANIER ELEMENTARY,Assigned,0.003
LANIER ELEMENTARY,Charter,0.033
LANIER ELEMENTARY,Choice,0.1051
LANIER ELEMENTARY,ESE Placed,0.003
LANIER ELEMENTARY,Magnet,0.0601
LANIER ELEMENTARY,Neighborhood,0.0871
LANIER ELEMENTARY,Stay,0.7087
LENNARD HIGH SCHOOL,Charter,0.0492
LENNARD HIGH SCHOOL,Choice,0.029
LENNARD HIGH SCHOOL,Hope Sch,8e-4
