school_name,school_number,region,level3_plus_22_23,student_count_22_23,level3_plus_23_24,student_count_23_24,exam
SULPHUR SPRINGS K-8 SCHOOL,4201,TN4,0.09999999999999999,69,0.02,47,Grade 6 Math
TINKER K-8 SCHOOL,4381,E1,0.5900000000000001,49,0.42,72,Grade 6 Math
TOMLIN MIDDLE SCHOOL,3442,M2,0.30000000000000004,478,0.2,425,Grade 6 Math
TURKEY CREEK MIDDLE SCHOOL,4522,M2,0.2,365,0.16,345,Grade 6 Math
TURNER-BARTELS K-8 SCHOOL,0069,E3,0.43,190,0.34,160,Grade 6 Math
WALKER MIDDLE MAGNET SCHOOL,4611,M1,0.67,316,0.7,304,Grade 6 Math
WEBB MIDDLE SCHOOL,4442,M1,0.17,266,0.22,250,Grade 6 Math
WILLIAMS MIDDLE MAGNET SCHOOL,4741,M1,0.54,242,0.46,247,Grade 6 Math
WILSON MIDDLE SCHOOL,4761,M2,0.5700000000000001,176,0.51,161,Grade 6 Math
YOUNG MIDDLE MAGNET SCHOOL,5041,M1,0.15,127,0.18,72,Grade 6 Math
ADAMS MIDDLE SCHOOL,0041,TN4,0.19,151,0.15,198,Grade 7 ELA
BARRINGTON MIDDLE SCHOOL,0086,M2,0.48000000000000004,438,0.59,424,Grade 7 ELA
BENITO MIDDLE SCHOOL,0201,M1,0.42999999999999994,317,0.55,341,Grade 7 ELA
BRANDON SUCCESS CENTER,4332,CN,0,20,0,9,Grade 7 ELA
BUCHANAN MIDDLE SCHOOL,0561,M1,0.27,153,0.17,232,Grade 7 ELA
BURNETT MIDDLE SCHOOL,0631,M1,0.21,174,0.27,179,Grade 7 ELA
BURNS MIDDLE SCHOOL,0651,M2,0.43,383,0.46,360,Grade 7 ELA
CARVER EXCEPTIONAL CENTER,0063,CN,NA,NA,NA,NA,Grade 7 ELA
COLEMAN MIDDLE SCHOOL,0921,M2,0.6399999999999999,292,0.67,304,Grade 7 ELA
COLLINS PK-8 SCHOOL,0065,E5,NA,NA,0.38,171,Grade 7 ELA
DAVIDSEN MIDDLE SCHOOL,1080,M1,0.35,279,0.32,308,Grade 7 ELA
DOROTHY C YORK PK-8 MAGNET SCHOOL,0011,E5,0.56,151,0.59,194,Grade 7 ELA
DOROTHY THOMAS CENTER,4321,CN,NA,NA,NA,NA,Grade 7 ELA
DOWDELL MIDDLE MAGNET SCHOOL,0842,M1,0.3,172,0.21,164,Grade 7 ELA
DR CARTER G WOODSON K-8 SCHOOL,0682,TN4,0.19,84,0.28,75,Grade 7 ELA
EISENHOWER MIDDLE SCHOOL,1324,M1,0.24,322,0.2,373,Grade 7 ELA
FARNELL MIDDLE SCHOOL,1441,M2,0.5800000000000001,387,0.55,430,Grade 7 ELA
FERRELL MIDDLE MAGNET SCHOOL,3001,M2,0.31,86,0.41,158,Grade 7 ELA
FRANKLIN MIDDLE MAGNET SCHOOL,1542,M2,0.39,83,0.31,118,Grade 7 ELA
GIUNTA MIDDLE SCHOOL,0052,TN4,0.16,245,0.18,257,Grade 7 ELA
GRECO MIDDLE MAGNET SCHOOL,1781,M1,0.15000000000000002,187,0.14,202,Grade 7 ELA
HILL MIDDLE SCHOOL,1871,M1,0.33,305,0.33,307,Grade 7 ELA
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.6,84,0.75,52,Grade 7 ELA
HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,5371,CN,NA,NA,NA,NA,Grade 7 ELA
JENNINGS MIDDLE SCHOOL,2042,TN4,0.16,213,0.1,228,Grade 7 ELA
LIBERTY MIDDLE SCHOOL,2471,M1,0.43999999999999995,312,0.43,309,Grade 7 ELA
LUTZ K-8 SCHOOL,2561,E3,0.48,72,0.43,72,Grade 7 ELA
MADISON MIDDLE SCHOOL,2651,M2,0.3,151,0.37,185,Grade 7 ELA
MANISCALCO K-8 SCHOOL,2771,E3,0.56,52,0.54,65,Grade 7 ELA
MANN MIDDLE SCHOOL,2801,M1,0.24999999999999997,233,0.22,195,Grade 7 ELA
MARSHALL MIDDLE MAGNET SCHOOL,2841,M2,0.29,285,0.3,335,Grade 7 ELA
MARTINEZ MIDDLE SCHOOL,2851,M1,0.65,363,0.7,402,Grade 7 ELA
MCLANE MIDDLE SCHOOL,0322,M1,0.15000000000000002,239,0.17,199,Grade 7 ELA
MEMORIAL MIDDLE SCHOOL,2882,TN4,0.25,165,0.16,251,Grade 7 ELA
MONROE MIDDLE MAGNET SCHOOL,2362,M2,0.33,128,0.22,98,Grade 7 ELA
MULRENNAN MIDDLE SCHOOL,3131,M2,0.46,385,0.42,381,Grade 7 ELA
NORTH TAMPA SUCCESS CENTER,4331,CN,NA,NA,0.07,14,Grade 7 ELA
ORANGE GROVE MIDDLE MAGNET SCHOOL,3241,M2,0.39,148,0.38,144,Grade 7 ELA
PACE CENTER FOR GIRLS,5054,CN,NA,NA,NA,NA,Grade 7 ELA
PIERCE MIDDLE SCHOOL,0082,M1,0.25,249,0.17,270,Grade 7 ELA
PIZZO K-8 SCHOOL,3381,TN4,0.19,42,0.33,66,Grade 7 ELA
PROGRESS VILLAGE MIDDLE MAGNET,3561,M2,0.51,217,0.35,235,Grade 7 ELA
RAMPELLO K-8 MAGNET SCHOOL,4251,E1,0.52,102,0.55,110,Grade 7 ELA
RANDALL MIDDLE SCHOOL,3620,M2,0.65,474,0.69,443,Grade 7 ELA
RODGERS MIDDLE MAGNET SCHOOL,3771,M2,0.4,384,0.33,320,Grade 7 ELA
ROLAND PARK K-8 MAGNET SCHOOL,3802,E1,0.6699999999999999,110,0.58,113,Grade 7 ELA
SERGEANT PAUL R SMITH MIDDLE SCHOOL,0074,M1,0.4,172,0.35,181,Grade 7 ELA
SHIELDS MIDDLE SCHOOL,0055,TN4,0.23,561,0.14,512,Grade 7 ELA
SIMMONS EXCEPTIONAL CENTER,4002,CN,NA,NA,NA,NA,Grade 7 ELA
SLIGH MIDDLE SCHOOL,1482,TN4,0.22,182,0.26,179,Grade 7 ELA
STEWART MIDDLE MAGNET SCHOOL,0284,M2,0.38,197,0.34,255,Grade 7 ELA
SULPHUR SPRINGS K-8 SCHOOL,4201,TN4,0.16,40,0.1,49,Grade 7 ELA
TINKER K-8 SCHOOL,4381,E1,0.61,54,0.56,39,Grade 7 ELA
TOMLIN MIDDLE SCHOOL,3442,M2,0.32,456,0.29,459,Grade 7 ELA
TURKEY CREEK MIDDLE SCHOOL,4522,M2,0.21,292,0.19,313,Grade 7 ELA
TURNER-BARTELS K-8 SCHOOL,0069,E3,0.39,160,0.44,199,Grade 7 ELA
WALKER MIDDLE MAGNET SCHOOL,4611,M1,0.8,309,0.71,326,Grade 7 ELA
WEBB MIDDLE SCHOOL,4442,M1,0.23,215,0.19,265,Grade 7 ELA
WILLIAMS MIDDLE MAGNET SCHOOL,4741,M1,0.72,252,0.7,282,Grade 7 ELA
WILSON MIDDLE SCHOOL,4761,M2,0.6100000000000001,211,0.7,204,Grade 7 ELA
YOUNG MIDDLE MAGNET SCHOOL,5041,M1,0.24000000000000002,121,0.19,107,Grade 7 ELA
ADAMS MIDDLE SCHOOL,0041,TN4,0.16,129,0.03,148,Grade 7 Math
BARRINGTON MIDDLE SCHOOL,0086,M2,0.12,109,0.11,103,Grade 7 Math
BENITO MIDDLE SCHOOL,0201,M1,0.22999999999999998,132,0.11,114,Grade 7 Math
BRANDON SUCCESS CENTER,4332,CN,0,19,NA,NA,Grade 7 Math
BUCHANAN MIDDLE SCHOOL,0561,M1,0.03,74,0.05,125,Grade 7 Math
BURNETT MIDDLE SCHOOL,0631,M1,0.1,120,0.07,107,Grade 7 Math
BURNS MIDDLE SCHOOL,0651,M2,0.23,164,0.17,136,Grade 7 Math
CARVER EXCEPTIONAL CENTER,0063,CN,NA,NA,NA,NA,Grade 7 Math
COLEMAN MIDDLE SCHOOL,0921,M2,0.34,41,0.16,32,Grade 7 Math
COLLINS PK-8 SCHOOL,0065,E5,NA,NA,0.16,64,Grade 7 Math
DAVIDSEN MIDDLE SCHOOL,1080,M1,0.18000000000000002,167,0.14,177,Grade 7 Math
DOROTHY C YORK PK-8 MAGNET SCHOOL,0011,E5,0.23,48,0,19,Grade 7 Math
DOROTHY THOMAS CENTER,4321,CN,NA,NA,NA,NA,Grade 7 Math
DOWDELL MIDDLE MAGNET SCHOOL,0842,M1,0.17,107,0.03,101,Grade 7 Math
DR CARTER G WOODSON K-8 SCHOOL,0682,TN4,0.13,60,0.08,53,Grade 7 Math
EISENHOWER MIDDLE SCHOOL,1324,M1,0.1,220,0.06,232,Grade 7 Math
FARNELL MIDDLE SCHOOL,1441,M2,0.32,126,0.22,87,Grade 7 Math
FERRELL MIDDLE MAGNET SCHOOL,3001,M2,0.2,44,0.25,59,Grade 7 Math
FRANKLIN MIDDLE MAGNET SCHOOL,1542,M2,0.2,45,0.11,64,Grade 7 Math
GIUNTA MIDDLE SCHOOL,0052,TN4,0.07,195,0.08,179,Grade 7 Math
GRECO MIDDLE MAGNET SCHOOL,1781,M1,0.09999999999999999,150,0.1,150,Grade 7 Math
HILL MIDDLE SCHOOL,1871,M1,0.19,113,0.13,96,Grade 7 Math
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.36000000000000004,54,0.59,34,Grade 7 Math
HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,5371,CN,NA,NA,NA,NA,Grade 7 Math
JENNINGS MIDDLE SCHOOL,2042,TN4,0.09,175,0.03,167,Grade 7 Math
LIBERTY MIDDLE SCHOOL,2471,M1,0.22,137,0.12,120,Grade 7 Math
LUTZ K-8 SCHOOL,2561,E3,0.15,20,0.16,19,Grade 7 Math
MADISON MIDDLE SCHOOL,2651,M2,0.09,77,0.05,60,Grade 7 Math
MANISCALCO K-8 SCHOOL,2771,E3,0.52,19,0.25,16,Grade 7 Math
MANN MIDDLE SCHOOL,2801,M1,0.17,144,0.21,160,Grade 7 Math
MARSHALL MIDDLE MAGNET SCHOOL,2841,M2,0.16,173,0.11,157,Grade 7 Math
MARTINEZ MIDDLE SCHOOL,2851,M1,0.21,81,0.14,51,Grade 7 Math
MCLANE MIDDLE SCHOOL,0322,M1,0.11,185,0.09,139,Grade 7 Math
MEMORIAL MIDDLE SCHOOL,2882,TN4,0.27,136,0.19,202,Grade 7 Math
MONROE MIDDLE MAGNET SCHOOL,2362,M2,0.15,54,0.02,43,Grade 7 Math
MULRENNAN MIDDLE SCHOOL,3131,M2,0.29,167,0.12,155,Grade 7 Math
NORTH TAMPA SUCCESS CENTER,4331,CN,NA,NA,NA,NA,Grade 7 Math
ORANGE GROVE MIDDLE MAGNET SCHOOL,3241,M2,0.05,80,0.18,77,Grade 7 Math
PACE CENTER FOR GIRLS,5054,CN,NA,NA,NA,NA,Grade 7 Math
PIERCE MIDDLE SCHOOL,0082,M1,0.11,168,0.04,160,Grade 7 Math
PIZZO K-8 SCHOOL,3381,TN4,0.17,30,0.09,35,Grade 7 Math
PROGRESS VILLAGE MIDDLE MAGNET,3561,M2,0.13,112,0.19,101,Grade 7 Math
RANDALL MIDDLE SCHOOL,3620,M2,0.3,79,0.2,65,Grade 7 Math
RODGERS MIDDLE MAGNET SCHOOL,3771,M2,0.17,235,0.15,176,Grade 7 Math
ROLAND PARK K-8 MAGNET SCHOOL,3802,E1,0.11,18,0.06,16,Grade 7 Math
SERGEANT PAUL R SMITH MIDDLE SCHOOL,0074,M1,0.16,75,0.08,72,Grade 7 Math
SHIELDS MIDDLE SCHOOL,0055,TN4,0.09,349,0.06,287,Grade 7 Math
SIMMONS EXCEPTIONAL CENTER,4002,CN,NA,NA,NA,NA,Grade 7 Math
SLIGH MIDDLE SCHOOL,1482,TN4,0.09,140,0.12,109,Grade 7 Math
STEWART MIDDLE MAGNET SCHOOL,0284,M2,0.09,77,0.05,85,Grade 7 Math
SULPHUR SPRINGS K-8 SCHOOL,4201,TN4,0.16,36,0.02,46,Grade 7 Math
TOMLIN MIDDLE SCHOOL,3442,M2,0.09,210,0.1,174,Grade 7 Math
TURKEY CREEK MIDDLE SCHOOL,4522,M2,0.12,146,0.05,164,Grade 7 Math
TURNER-BARTELS K-8 SCHOOL,0069,E3,0.1,83,0.09,79,Grade 7 Math
WALKER MIDDLE MAGNET SCHOOL,4611,M1,0.16,42,0.25,32,Grade 7 Math
WEBB MIDDLE SCHOOL,4442,M1,0.09999999999999999,140,0.08,159,Grade 7 Math
WILLIAMS MIDDLE MAGNET SCHOOL,4741,M1,0.21,53,0.07,41,Grade 7 Math
WILSON MIDDLE SCHOOL,4761,M2,0.13,24,0.2,35,Grade 7 Math
YOUNG MIDDLE MAGNET SCHOOL,5041,M1,0.08,83,0.05,57,Grade 7 Math
ADAMS MIDDLE SCHOOL,0041,TN4,0.13,215,0.22,157,Grade 8 ELA
BARRINGTON MIDDLE SCHOOL,0086,M2,0.44,478,0.49,434,Grade 8 ELA
BENITO MIDDLE SCHOOL,0201,M1,0.44,316,0.46,333,Grade 8 ELA
BRANDON SUCCESS CENTER,4332,CN,0,36,0,15,Grade 8 ELA
BUCHANAN MIDDLE SCHOOL,0561,M1,0.14,295,0.21,187,Grade 8 ELA
BURNETT MIDDLE SCHOOL,0631,M1,0.19,209,0.2,182,Grade 8 ELA
BURNS MIDDLE SCHOOL,0651,M2,0.38,401,0.36,405,Grade 8 ELA
CARVER EXCEPTIONAL CENTER,0063,CN,NA,NA,NA,NA,Grade 8 ELA
COLEMAN MIDDLE SCHOOL,0921,M2,0.5599999999999999,335,0.68,290,Grade 8 ELA
COLLINS PK-8 SCHOOL,0065,E5,NA,NA,0.34,115,Grade 8 ELA
DAVIDSEN MIDDLE SCHOOL,1080,M1,0.29,339,0.31,291,Grade 8 ELA
DOROTHY C YORK PK-8 MAGNET SCHOOL,0011,E5,NA,NA,0.46,143,Grade 8 ELA
DOROTHY THOMAS CENTER,4321,CN,NA,NA,NA,NA,Grade 8 ELA
DOWDELL MIDDLE MAGNET SCHOOL,0842,M1,0.14,164,0.28,188,Grade 8 ELA
DR CARTER G WOODSON K-8 SCHOOL,0682,TN4,0.12,120,0.26,108,Grade 8 ELA
EISENHOWER MIDDLE SCHOOL,1324,M1,0.27,365,0.18,390,Grade 8 ELA
FARNELL MIDDLE SCHOOL,1441,M2,0.5800000000000001,397,0.53,401,Grade 8 ELA
FERRELL MIDDLE MAGNET SCHOOL,3001,M2,0.36999999999999994,122,0.46,92,Grade 8 ELA
FRANKLIN MIDDLE MAGNET SCHOOL,1542,M2,0.25,90,0.39,104,Grade 8 ELA
GIUNTA MIDDLE SCHOOL,0052,TN4,0.17,305,0.14,333,Grade 8 ELA
GRECO MIDDLE MAGNET SCHOOL,1781,M1,0.16999999999999998,228,0.18,219,Grade 8 ELA
HILL MIDDLE SCHOOL,1871,M1,0.33999999999999997,360,0.41,278,Grade 8 ELA
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.5800000000000001,115,0.54,63,Grade 8 ELA
HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,5371,CN,NA,NA,NA,NA,Grade 8 ELA
JENNINGS MIDDLE SCHOOL,2042,TN4,0.19,274,0.2,261,Grade 8 ELA
LIBERTY MIDDLE SCHOOL,2471,M1,0.4,368,0.41,329,Grade 8 ELA
LUTZ K-8 SCHOOL,2561,E3,0.37,53,0.66,65,Grade 8 ELA
MADISON MIDDLE SCHOOL,2651,M2,0.22,212,0.22,191,Grade 8 ELA
MANISCALCO K-8 SCHOOL,2771,E3,0.44,51,0.53,51,Grade 8 ELA
MANN MIDDLE SCHOOL,2801,M1,0.23,273,0.24,242,Grade 8 ELA
MARSHALL MIDDLE MAGNET SCHOOL,2841,M2,0.22,377,0.25,328,Grade 8 ELA
MARTINEZ MIDDLE SCHOOL,2851,M1,0.55,408,0.68,365,Grade 8 ELA
MCLANE MIDDLE SCHOOL,0322,M1,0.14,260,0.15,231,Grade 8 ELA
MEMORIAL MIDDLE SCHOOL,2882,TN4,0.22999999999999998,220,0.19,212,Grade 8 ELA
MONROE MIDDLE MAGNET SCHOOL,2362,M2,0.21,135,0.29,142,Grade 8 ELA
MULRENNAN MIDDLE SCHOOL,3131,M2,0.34,360,0.36,416,Grade 8 ELA
NORTH TAMPA SUCCESS CENTER,4331,CN,0,30,0,20,Grade 8 ELA
ORANGE GROVE MIDDLE MAGNET SCHOOL,3241,M2,0.28,153,0.33,168,Grade 8 ELA
PACE CENTER FOR GIRLS,5054,CN,NA,NA,NA,NA,Grade 8 ELA
PIERCE MIDDLE SCHOOL,0082,M1,0.17,285,0.19,318,Grade 8 ELA
