Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
"",,MARTINEZ MIDDLE SCHOOL,Mid,,2,3,,3,15,23
"",,MULRENNAN MIDDLE SCHOOL,Mid,,1,,,,,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Blank/Bad Addr,Choice,SMITH MIDDLE SCHOOL,Mid,,,2,,,1,3
"",,TOMLIN MIDDLE SCHOOL,Mid,,1,4,,,3,8
"",,TURKEY CREEK MIDDLE SCHOOL,Mid,,,1,,,,1
"",,TURNER BARTELS K-8,K-8,1,4,10,,,8,23
"",,WOODSON K-8,K-8,,1,,,,,1
"",Choice Total,,,1,23,38,,12,53,127
"",Magnet,FERRELL (GIRLS) MIDDLE MAGNET,Mid,,3,,,1,,4
"",,FRANKLIN (BOYS) MIDDLE MAGNET,Mid,,1,,,,,1
"",,MARSHALL MIDDLE MAGNET SCHOOL,Mid,,1,,,,1,2
"",,MONROE MIDDLE MAGNET SCHOOL,Mid,,1,,,,,1
"",,PROGRESS VILLAGE MIDDLE SCHOOL,Mid,,,,,,2,2
"",,RAMPELLO K-8,K-8,,2,3,,,,5
"",,ROLAND PARK K-8 MAGNET,K-8,,2,,,,3,5
"",,SLIGH MIDDLE SCHOOL,Mid,,,,,,2,2
"",,WALKER MIDDLE MAGNET,Mid,7,,3,,2,6,18
"",,WILLIAMS MIDDLE SCHOOL,Mid,7,1,,,,,8
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,,,,1,1
"",Magnet Total,,,14,11,6,,3,15,49
"",Neighborhood,BUCHANAN MIDDLE SCHOOL,Mid,,,1,,,,1
"",,CARROLLWOOD K-8 SCHOOL,K-8,,,1,,,,1
"",,COLLINS PK-8 SCHOOL,K-8,,,,,,1,1
"",,DAVIDSEN MIDDLE SCHOOL,Mid,,,1,,,,1
"",,EISENHOWER MIDDLE SCHOOL,Mid,,,,,,1,1
"",,FARNELL MIDDLE SCHOOL,Mid,,,,,,1,1
"",,GRECO MIDDLE MAGNET SCHOOL,Mid,,,,,,1,1
"",,HILL MIDDLE SCHOOL,Mid,,,,,,1,1
"",,JENNINGS MIDDLE SCHOOL,Mid,,,,,,1,1
"",,LIBERTY MIDDLE SCHOOL,Mid,,2,,,,,2
"",,MARSHALL MIDDLE MAGNET SCHOOL,Mid,,,1,,1,,2
"",,MARTINEZ MIDDLE SCHOOL,Mid,,,,,,1,1
"",,SHIELDS MIDDLE SCHOOL,Mid,,,2,,,1,3
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Blank/Bad Addr,Neighborhood,TURKEY CREEK MIDDLE SCHOOL,Mid,,,1,,,,1
"",,TURNER BARTELS K-8,K-8,,1,1,,,,2
"",Neighborhood Total,,,,3,9,,1,8,21
Blank/Bad Addr Total676413338257559,,,,,,,,,,
Adams,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,,1,,,,1
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,1,1,,,,2
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,1,,,1,3
"",,EXCELSIOR PREP CHARTER MIDDLE,Mid,,,2,,,,2
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,1,,18,,,1,20
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,,3,,,,3
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,3,,,,3
"",,LEARNING GATE COMMUNITY,K-8,3,3,9,,2,16,33
"",,LEGACY PREPARATORY ACADEMY,K-8,,6,9,,,2,17
"",,LUTZ PREPARATORY SCHOOL,K-8,,1,1,,1,12,15
"",,NEW SPRINGS SCHOOL,K-8,,7,14,,1,1,23
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,3,,,3,6
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,1,2,6,,2,6,17
"",,TERRACE COMMUNITY SCHOOL,Mid,1,2,1,,,2,6
"",,TRINITY SCHOOL FOR CHILDREN,K-8,1,,26,,1,17,45
"",,WOODMONT CHARTER SCHOOL,K-8,,4,1,,,1,6
"",Charter Total,,,7,27,99,,7,62,202
"",Choice,ADAMS MIDDLE SCHOOL,Mid,,,,,,1,1
"",,BARRINGTON MIDDLE SCHOOL,Mid,,,1,,,,1
"",,BENITO MIDDLE SCHOOL,Mid,,1,,,,,1
"",,BUCHANAN MIDDLE SCHOOL,Mid,2,3,16,,4,14,39
"",,CARROLLWOOD K-8 SCHOOL,K-8,,,1,,,1,2
"",,COLEMAN MIDDLE SCHOOL,Mid,,1,,,,,1
"",,DAVIDSEN MIDDLE SCHOOL,Mid,,,1,,,,1
"",,FARNELL MIDDLE SCHOOL,Mid,,,2,,,1,3
"",,HILL MIDDLE SCHOOL,Mid,2,2,24,,7,28,63
"",,LIBERTY MIDDLE SCHOOL,Mid,,5,,,,1,6
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Adams,Choice,MANISCALCO K-8 SCHOOL,K-8,,1,3,,,3,7
"",,MEMORIAL MIDDLE SCHOOL,Mid,,2,2,,1,,5
"",,PIERCE MIDDLE SCHOOL,Mid,,,5,,,,5
"",,PIZZO K-8 SCHOOL,K-8,,7,1,,2,1,11
"",,SMITH MIDDLE SCHOOL,Mid,,1,2,,,,3
"",,TURNER BARTELS K-8,K-8,,,1,,,,1
"",,WILLIAMS MIDDLE SCHOOL,Mid,,,1,,,,1
"",,WOODSON K-8,K-8,,3,1,,,,4
"",Choice Total,,,4,26,64,,15,56,165
"",Hope Sch,BUCHANAN MIDDLE SCHOOL,Mid,,,1,,,,1
"",,WOODSON K-8,K-8,,1,,,,,1
"",Hope Sch Total,,,,1,1,,,,2
"",Magnet,DOWDELL MIDDLE SCHOOL,Mid,,1,,1,,,2
"",,FERRELL (GIRLS) MIDDLE MAGNET,Mid,2,4,6,,,7,19
"",,FRANKLIN (BOYS) MIDDLE MAGNET,Mid,,1,3,,2,1,7
"",,ORANGE GROVE MIDDLE MAGNET,Mid,1,14,8,,2,7,32
"",,PROGRESS VILLAGE MIDDLE SCHOOL,Mid,,1,1,,,,2
"",,RAMPELLO K-8,K-8,,1,2,1,1,5,10
"",,ROLAND PARK K-8 MAGNET,K-8,,6,6,,,,12
"",,SLIGH MIDDLE SCHOOL,Mid,1,6,8,,,,15
"",,STEWART MIDDLE SCHOOL,Mid,,19,18,,1,7,45
"",,WALKER MIDDLE MAGNET,Mid,1,1,16,,4,19,41
"",,WILLIAMS MIDDLE SCHOOL,Mid,1,10,9,,,6,26
"",,YOUNG MIDDLE MAGNET,Mid,,8,4,,,1,13
"",Magnet Total,,,6,72,81,2,10,53,224
"",Neighborhood,ADAMS MIDDLE SCHOOL,Mid,10,156,272,3,28,42,511
"",,BUCHANAN MIDDLE SCHOOL,Mid,,1,1,,,1,3
"",,CARROLLWOOD K-8 SCHOOL,K-8,,,2,,,1,3
"",,DAVIDSEN MIDDLE SCHOOL,Mid,,,1,,,,1
"",,GRECO MIDDLE MAGNET SCHOOL,Mid,,1,,,,,1
"",,HILL MIDDLE SCHOOL,Mid,,1,6,,1,3,11
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Adams,Neighborhood,LIBERTY MIDDLE SCHOOL,Mid,,,1,,,,1
"",,MEMORIAL MIDDLE SCHOOL,Mid,,2,1,,,,3
"",,ORANGE GROVE MIDDLE MAGNET,Mid,,1,,,,,1
"",,SLIGH MIDDLE SCHOOL,Mid,,,2,,,,2
"",,SULPHUR SPRINGS K-8,K-8,,1,1,,1,,3
"",,WEBB MIDDLE SCHOOL,Mid,,,1,,,,1
"",,WOODSON K-8,K-8,,1,,,,,1
"",,YOUNG MIDDLE MAGNET,Mid,,1,,,,,1
"",Neighborhood Total,,,10,166,288,3,30,47,544
"Adams Total272925335622181,137",,,,,,,,,,
Barrington,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,,,,,1,1
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,1,,,,1
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,1,6,2,,1,3,13
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,1,1,,,,2
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,,,,,,3,3
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,1,3,,,4,8
"",,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,,,6,,,,6
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,1,12,,1,3,17
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,6,11,,2,6,25
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,,,1,,,1,2
"",,WATERSET CHARTER SCHOOL,K-8,,,,,,1,1
"",,WINTHROP CHARTER SCHOOL,K-8,,3,1,,,2,6
"",Charter Total,,,1,18,38,,4,24,85
"",Choice,BARRINGTON MIDDLE SCHOOL,Mid,1,,,,1,2,4
"",,COLLINS PK-8 SCHOOL,K-8,,,,,,4,4
"",,EISENHOWER MIDDLE SCHOOL,Mid,,,1,,,,1
"",,MULRENNAN MIDDLE SCHOOL,Mid,,,,,2,1,3
"",,RANDALL MIDDLE SCHOOL,Mid,9,6,12,,4,51,82
"",,TINKER K-8 SCHOOL,K-8,,1,,,,,1
"",,TURKEY CREEK MIDDLE SCHOOL,Mid,,,,,,1,1
"",Choice Total,,,10,7,13,,7,59,96
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Barrington,Magnet,FERRELL (GIRLS) MIDDLE MAGNET,Mid,,1,1,,,1,3
"",,FRANKLIN (BOYS) MIDDLE MAGNET,Mid,,,1,,,1,2
"",,ORANGE GROVE MIDDLE MAGNET,Mid,,4,,,,3,7
"",,PROGRESS VILLAGE MIDDLE SCHOOL,Mid,,9,2,,3,11,25
"",,RAMPELLO K-8,K-8,,1,,,,,1
"",,RODGERS MIDDLE MAGNET SCHOOL,Mid,1,,,,3,3,7
"",,SLIGH MIDDLE SCHOOL,Mid,,1,,,,,1
"",,STEWART MIDDLE SCHOOL,Mid,,,,,,3,3
"",,WILLIAMS MIDDLE SCHOOL,Mid,9,4,2,,,2,17
"",,YORK PK-8 MAGNET SCHOOL,K-8,,2,,,2,3,7
"",,YOUNG MIDDLE MAGNET,Mid,,,,,1,,1
"",Magnet Total,,,10,24,7,,9,27,77
"",Neighborhood,BARRINGTON MIDDLE SCHOOL,Mid,61,118,352,3,90,552,"1,176"
"",,MANN MIDDLE SCHOOL,Mid,,,1,,,1,2
"",,RANDALL MIDDLE SCHOOL,Mid,,,,,,1,1
"",,RODGERS MIDDLE MAGNET SCHOOL,Mid,,,1,,,,1
"",Neighborhood Total,,,61,118,354,3,90,554,"1,180"
"Barrington Total8216741231106641,438",,,,,,,,,,
Benito,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,,,,,1
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,,,1,,1
"",,EXCELSIOR PREP CHARTER MIDDLE,Mid,,,1,,,1,2
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,,1,,,,1
"",,LEARNING GATE COMMUNITY,K-8,1,1,2,,1,2,7
"",,LEGACY PREPARATORY ACADEMY,K-8,,2,,,,,2
"",,LUTZ PREPARATORY SCHOOL,K-8,3,1,,,3,12,19
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,1,,,,1
"",,NEW SPRINGS SCHOOL,K-8,,1,,,,,1
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,,,1,,,1,2
"",,TERRACE COMMUNITY SCHOOL,Mid,119,15,18,3,8,22,185
"",,TRINITY SCHOOL FOR CHILDREN,K-8,2,,,,,,2
"",,WOODMONT CHARTER SCHOOL,K-8,,2,1,,,2,5
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Benito,Choice,BENITO MIDDLE SCHOOL,Mid,2,3,2,,1,2,10
"",,HILL MIDDLE SCHOOL,Mid,,,2,,,,2
"",,LIBERTY MIDDLE SCHOOL,Mid,2,12,3,,2,2,21
"",,MANISCALCO K-8 SCHOOL,K-8,,,1,,,,1
"",,PIZZO K-8 SCHOOL,K-8,2,9,4,,,,15
"",,RANDALL MIDDLE SCHOOL,Mid,,1,,,,,1
"",,TURNER BARTELS K-8,K-8,3,9,1,,1,2,16
"",Choice Total,,,9,34,13,,4,6,66
"",Hope Sch,LIBERTY MIDDLE SCHOOL,Mid,,,,,1,1,2
"",Hope Sch Total,,,,,,,1,1,2
"",Magnet,FERRELL (GIRLS) MIDDLE MAGNET,Mid,,1,1,,,,2
"",,FRANKLIN (BOYS) MIDDLE MAGNET,Mid,,3,1,,,,4
"",,ORANGE GROVE MIDDLE MAGNET,Mid,,4,1,,,2,7
"",,PROGRESS VILLAGE MIDDLE SCHOOL,Mid,,2,,,,,2
"",,RAMPELLO K-8,K-8,,1,1,,,,2
"",,ROLAND PARK K-8 MAGNET,K-8,,2,,,,,2
"",,SLIGH MIDDLE SCHOOL,Mid,,1,,,1,,2
"",,STEWART MIDDLE SCHOOL,Mid,,2,4,,2,2,10
"",,WALKER MIDDLE MAGNET,Mid,1,,,,,1,2
"",,WILLIAMS MIDDLE SCHOOL,Mid,55,5,1,2,4,4,71
"",Magnet Total,,,56,21,9,2,7,9,104
"",Neighborhood,ADAMS MIDDLE SCHOOL,Mid,,1,,,,,1
"",,BENITO MIDDLE SCHOOL,Mid,143,245,194,,94,256,932
"",,GRECO MIDDLE MAGNET SCHOOL,Mid,,3,,,,,3
"",,JENNINGS MIDDLE SCHOOL,Mid,,,,,1,,1
"",,LIBERTY MIDDLE SCHOOL,Mid,,2,2,,,3,7
"",,MONROE MIDDLE MAGNET SCHOOL,Mid,,,,,,1,1
"",,STEWART MIDDLE SCHOOL,Mid,,,,,,1,1
"",,TURNER BARTELS K-8,K-8,8,5,5,,4,5,27
"",,WILLIAMS MIDDLE SCHOOL,Mid,4,,,,,,4
"",Neighborhood Total,,,155,256,201,,99,266,977
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Buchanan,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,,,,,,1,1
"",,EXCELSIOR PREP CHARTER MIDDLE,Mid,,,4,,,,4
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,6,,,,6
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,1,,,,1
"",,LEARNING GATE COMMUNITY,K-8,,,10,,3,33,46
"",,LEGACY PREPARATORY ACADEMY,K-8,,1,,,,,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,1,,,,,1
"",,LUTZ PREPARATORY SCHOOL,K-8,2,1,4,,1,24,32
"",,NEW SPRINGS SCHOOL,K-8,,4,1,,,,5
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,1,,,,1
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,7,1,13,,,16,37
"",,TERRACE COMMUNITY SCHOOL,Mid,1,1,1,,,1,4
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,1,4,,,4,9
"",,WINTHROP CHARTER SCHOOL,K-8,,,,,,1,1
"",,WOODMONT CHARTER SCHOOL,K-8,,2,2,,,,4
"",Charter Total,,,10,12,47,,4,80,153
"",Choice,BENITO MIDDLE SCHOOL,Mid,,1,,,1,3,5
"",,BUCHANAN MIDDLE SCHOOL,Mid,,1,7,,1,1,10
"",,DAVIDSEN MIDDLE SCHOOL,Mid,,,,,,1,1
"",,FARNELL MIDDLE SCHOOL,Mid,,,1,,,,1
"",,HILL MIDDLE SCHOOL,Mid,,1,9,,,9,19
"",,LIBERTY MIDDLE SCHOOL,Mid,,1,6,,,,7
"",,LUTZ K-8 SCHOOL,K-8,1,,27,,6,58,92
"",,MANISCALCO K-8 SCHOOL,K-8,1,9,27,,3,14,54
"",,MARTINEZ MIDDLE SCHOOL,Mid,1,1,3,,,2,7
"",,PIZZO K-8 SCHOOL,K-8,,,5,,,,5
"",,TURNER BARTELS K-8,K-8,,,1,,,,1
"",,WALKER MIDDLE MAGNET,Mid,,,1,,,1,2
"",Choice Total,,,3,14,87,,11,89,204
"",District Assigned,LIBERTY MIDDLE SCHOOL,Mid,,,1,,,,1
"",District Assigned Total,,,,,1,,,,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Buchanan,Hope Sch,BUCHANAN MIDDLE SCHOOL,Mid,,,1,,,,1
"",,HILL MIDDLE SCHOOL,Mid,,,,,,2,2
"",,WOODSON K-8,K-8,,1,,,,,1
"",Hope Sch Total,,,,1,1,,1,2,5
"",Magnet,DOWDELL MIDDLE SCHOOL,Mid,,1,,,,,1
"",,FERRELL (GIRLS) MIDDLE MAGNET,Mid,,1,2,,2,2,7
"",,FRANKLIN (BOYS) MIDDLE MAGNET,Mid,,2,,,,1,3
"",,GRECO MIDDLE MAGNET SCHOOL,Mid,,1,,,,,1
"",,ORANGE GROVE MIDDLE MAGNET,Mid,,3,9,,,1,13
"",,PROGRESS VILLAGE MIDDLE SCHOOL,Mid,,,2,,1,,3
"",,RAMPELLO K-8,K-8,,,1,,,1,2
"",,RODGERS MIDDLE MAGNET SCHOOL,Mid,,1,,,,,1
"",,ROLAND PARK K-8 MAGNET,K-8,,,1,,,1,2
"",,SLIGH MIDDLE SCHOOL,Mid,,,2,,1,,3
"",,STEWART MIDDLE SCHOOL,Mid,1,2,1,,2,4,10
"",,WALKER MIDDLE MAGNET,Mid,4,2,12,,2,12,32
"",,WILLIAMS MIDDLE SCHOOL,Mid,,1,2,,,,3
"",,YOUNG MIDDLE MAGNET,Mid,,1,1,,,1,3
"",Magnet Total,,,5,15,33,,8,23,84
"",Neighborhood,BUCHANAN MIDDLE SCHOOL,Mid,9,93,356,,26,55,539
"",,COLLINS PK-8 SCHOOL,K-8,,1,,,1,,2
"",,GRECO MIDDLE MAGNET SCHOOL,Mid,,2,2,,,,4
"",,HILL MIDDLE SCHOOL,Mid,,,1,,,,1
"",,LUTZ K-8 SCHOOL,K-8,,,,,,3,3
"",,MANISCALCO K-8 SCHOOL,K-8,,,1,,,,1
"",,MEMORIAL MIDDLE SCHOOL,Mid,,1,1,,,,2
"",,PIZZO K-8 SCHOOL,K-8,,,3,,,,3
"",,WOODSON K-8,K-8,,1,,,,,1
"",Neighborhood Total,,,9,98,364,,27,58,556
"Buchanan Total27140533512521,003",,,,,,,,,,
Burnett,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,1,1,,,,2
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Burnett,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,,,,,1
"",,EXCELSIOR PREP CHARTER MIDDLE,Mid,,1,,,,,1
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,1,,,,1
"",,INDEPENDENCE ACADEMY,K-8,2,5,17,,2,49,75
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,1,,,,,,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,,2,,,,2
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,1,,,2,3
"",,NEW SPRINGS SCHOOL,K-8,,2,,1,,2,5
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,1,,,,,,1
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,1,,,,,1
"",,TERRACE COMMUNITY SCHOOL,Mid,2,5,5,,3,3,18
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,2,1,,,,3
"",,WINTHROP CHARTER SCHOOL,K-8,,1,2,,1,1,5
"",,WOODMONT CHARTER SCHOOL,K-8,,5,1,,2,,8
"",Charter Total,,,6,25,32,1,8,58,130
"",Choice,BARRINGTON MIDDLE SCHOOL,Mid,,,1,,,,1
"",,BENITO MIDDLE SCHOOL,Mid,,1,,,,,1
"",,BUCHANAN MIDDLE SCHOOL,Mid,,1,,,,1,2
"",,BURNETT MIDDLE SCHOOL,Mid,,3,,,,,3
"",,BURNS MIDDLE SCHOOL,Mid,,,2,,1,1,4
"",,LIBERTY MIDDLE SCHOOL,Mid,,,,,,1,1
"",,MADISON MIDDLE SCHOOL,Mid,,,,,,1,1
"",,MANN MIDDLE SCHOOL,Mid,,,4,,,8,12
"",,MARTINEZ MIDDLE SCHOOL,Mid,,,,,,1,1
"",,MCLANE MIDDLE SCHOOL,Mid,,,1,,,,1
"",,MEMORIAL MIDDLE SCHOOL,Mid,,1,,,,,1
"",,MULRENNAN MIDDLE SCHOOL,Mid,2,2,2,,,10,16
"",,PIZZO K-8 SCHOOL,K-8,,1,,,,,1
"",,RANDALL MIDDLE SCHOOL,Mid,,,,,,2,2
"",,TOMLIN MIDDLE SCHOOL,Mid,,,,,,10,10
"",,TURNER BARTELS K-8,K-8,,,1,,,,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Burnett,Hope Sch,BURNS MIDDLE SCHOOL,Mid,,,1,,,,1
"",,MULRENNAN MIDDLE SCHOOL,Mid,,1,,,,,1
"",Hope Sch Total,,,,1,1,,,,2
"",Magnet,DOWDELL MIDDLE SCHOOL,Mid,,1,2,,1,3,7
"",,FERRELL (GIRLS) MIDDLE MAGNET,Mid,,4,3,,3,5,15
"",,FRANKLIN (BOYS) MIDDLE MAGNET,Mid,,12,4,1,1,6,24
"",,GRECO MIDDLE MAGNET SCHOOL,Mid,,,,,,1,1
"",,MARSHALL MIDDLE MAGNET SCHOOL,Mid,,2,,,,,2
"",,ORANGE GROVE MIDDLE MAGNET,Mid,,7,6,,,3,16
"",,PROGRESS VILLAGE MIDDLE SCHOOL,Mid,,1,3,,1,2,7
"",,RAMPELLO K-8,K-8,,3,1,,1,1,6
"",,RODGERS MIDDLE MAGNET SCHOOL,Mid,,,,,,1,1
"",,ROLAND PARK K-8 MAGNET,K-8,,3,,,,,3
"",,SLIGH MIDDLE SCHOOL,Mid,,2,,,1,,3
"",,STEWART MIDDLE SCHOOL,Mid,,7,5,,1,2,15
"",,WILLIAMS MIDDLE SCHOOL,Mid,3,10,8,,3,7,31
"",,YOUNG MIDDLE MAGNET,Mid,,6,1,,,,7
"",Magnet Total,,,3,58,33,1,12,31,138
"",Neighborhood,BURNETT MIDDLE SCHOOL,Mid,12,147,175,,30,143,507
"",,FERRELL (GIRLS) MIDDLE MAGNET,Mid,1,,,,,,1
"",,FRANKLIN (BOYS) MIDDLE MAGNET,Mid,,1,,,,,1
"",,JENNINGS MIDDLE SCHOOL,Mid,,,1,,,1,2
"",,MANN MIDDLE SCHOOL,Mid,1,1,,,1,2,5
"",,MCLANE MIDDLE SCHOOL,Mid,,1,1,,,,2
"",,PIERCE MIDDLE SCHOOL,Mid,,,1,,,,1
"",,PIZZO K-8 SCHOOL,K-8,,,1,,,1,2
"",,WALKER MIDDLE MAGNET,Mid,,,1,,,,1
"",Neighborhood Total,,,14,150,180,,31,147,522
Burnett Total25243257252271850,,,,,,,,,,
Burns,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,2,2,,,,4
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,1,,,,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Burns,Charter,LEARNING GATE COMMUNITY,K-8,,,1,,,,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,,3,,,5,8
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,,,,,,2,2
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,1,10,18,,5,25,59
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,1,,,,,1
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,1,,,,1,2
"",,TERRACE COMMUNITY SCHOOL,Mid,2,1,1,,1,,5
"",,WINTHROP CHARTER SCHOOL,K-8,1,,3,,,5,9
"",Charter Total,,,4,15,29,,6,39,93
"",Choice,BARRINGTON MIDDLE SCHOOL,Mid,,2,2,,,3,7
"",,BURNS MIDDLE SCHOOL,Mid,1,,3,,,3,7
"",,MANN MIDDLE SCHOOL,Mid,,,,,,1,1
"",,MULRENNAN MIDDLE SCHOOL,Mid,,2,7,,3,16,28
"",,PIZZO K-8 SCHOOL,K-8,,,1,,,,1
"",,RANDALL MIDDLE SCHOOL,Mid,1,,4,,1,4,10
"",Choice Total,,,2,4,17,,4,27,54
"",Hope Sch,MULRENNAN MIDDLE SCHOOL,Mid,,,1,,,,1
"",Hope Sch Total,,,,,1,,,,1
"",Magnet,DOWDELL MIDDLE SCHOOL,Mid,,,,,2,,2
"",,FERRELL (GIRLS) MIDDLE MAGNET,Mid,,,,,,2,2
"",,FRANKLIN (BOYS) MIDDLE MAGNET,Mid,,2,1,,,3,6
"",,ORANGE GROVE MIDDLE MAGNET,Mid,,1,,,,1,2
"",,PROGRESS VILLAGE MIDDLE SCHOOL,Mid,,4,1,,1,11,17
"",,RAMPELLO K-8,K-8,,,2,,,3,5
"",,RODGERS MIDDLE MAGNET SCHOOL,Mid,1,,,,,5,6
"",,ROLAND PARK K-8 MAGNET,K-8,,,,,1,1,2
