Zoned School,Current Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
"",,COLLINS PK-8 SCHOOL,K-8,,,,,,1,1
"",,CORK ELEMENTARY,Elem,,,2,,1,3,6
"",,CRESTWOOD ELEMENTARY,Elem,,,1,,,,1
"",,DAVIS ELEMENTARY,Elem,,,1,,,,1
"",,DEER PARK ELEMENTARY,Elem,,,3,,1,1,5
"",,DESOTO ELEMENTARY,Elem,,,1,,,,1
"",,DOVER ELEMENTARY,Elem,,1,1,,,,2
"",,EDISON ELEMENTARY,Elem,,,,,,1,1
"",,EGYPT LAKE ELEMENTARY,Elem,,,1,,1,,2
"",,ESSRIG ELEMENTARY,Elem,,,2,,,1,3
"",,FOLSOM ELEMENTARY,Elem,,,,,,1,1
"",,GRADY ELEMENTARY,Elem,,,2,,,,2
"",,HAMMOND ELEMENTARY,Elem,1,,5,,,6,12
"",,HERITAGE ELEMENTARY,Elem,1,1,,,3,12,17
"",,HUNTER'S GREEN ELEMENTARY,Elem,,8,12,,2,7,29
"",,KINGSWOOD ELEMENTARY,Elem,,,,,1,1,2
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Blank/Bad Addr,Choice,LAKE MAGDALENE ELEMENTARY,Elem,,,5,,,3,8
"",,LANIER ELEMENTARY,Elem,,,,,,1,1
"",,LEWIS ELEMENTARY,Elem,,,1,,,,1
"",,LOPEZ ELEMENTARY,Elem,,,,,,2,2
"",,LOWRY ELEMENTARY,Elem,,,4,,1,5,10
"",,LUTZ K-8 SCHOOL,K-8,,1,5,,1,20,27
"",,MABRY ELEMENTARY,Elem,,,1,,,4,5
"",,MANISCALCO K-8 SCHOOL,K-8,,3,1,,,9,13
"",,MCKITRICK ELEMENTARY,Elem,2,5,4,,5,22,38
"",,MENDENHALL ELEMENTARY,Elem,,,,,1,1,2
"",,MORT ELEMENTARY,Elem,,,,,1,,1
"",,NORTHWEST ELEMENTARY,Elem,,,2,,,4,6
"",,PINECREST ELEMENTARY,Elem,,,,,,2,2
"",,PIZZO K-8 SCHOOL,K-8,,,,,,1,1
"",,PRIDE ELEMENTARY,Elem,2,3,1,,,15,21
"",,RIVERVIEW ELEMENTARY,Elem,,,,,,1,1
"",,ROBINSON ELEMENTARY,Elem,,,,,,1,1
"",,ROOSEVELT ELEMENTARY,Elem,,,,,,2,2
"",,SCHMIDT ELEMENTARY,Elem,,,,,,1,1
"",,SCHWARZKOPF ELEMENTARY,Elem,,1,5,,,15,21
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,,1,,,,1
"",,SPRINGHEAD ELEMENTARY,Elem,,,4,,,5,9
"",,STOWERS ELEMENTARY,Elem,,,,,3,,3
"",,SUMMERFIELD ELEMENTARY,Elem,,,1,,,1,2
"",,TAMPA PALMS ELEMENTARY,Elem,,1,,,1,9,11
"",,TEMPLE TERRACE ELEMENTARY,Elem,,1,,,,,1
"",,THONOTOSASSA ELEMENTARY,Elem,,,,,,1,1
"",,TINKER K-8 SCHOOL,K-8,,,,,1,1,2
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,1,,,,1
"",,TURNER BARTELS K-8,K-8,1,13,8,,4,13,39
"",,VALRICO ELEMENTARY,Elem,,,,,,1,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Blank/Bad Addr,Choice,WEST SHORE ELEMENTARY,Elem,,,,,1,,1
"",,WEST TAMPA ELEMENTARY,Elem,,,1,,,,1
"",,WESTCHASE ELEMENTARY,Elem,,,4,,3,3,10
"",,WILSON ELEMENTARY,Elem,,,,,,2,2
"",,WOODBRIDGE ELEMENTARY,Elem,,,3,1,,,4
"",Choice Total,,,15,56,128,1,40,253,493
"",ESE Center,LAKE MAGDALENE ELEMENTARY,Elem,,,,,1,,1
"","ESE Center
Total",,,,,,,1,,1
"",ESE Placed,BRYANT ELEMENTARY,Elem,,,,,,1,1
"","ESE Placed
Total",,,,,,,,1,1
"",Magnet,DUNBAR ELEMENTARY,Elem,,1,,,,,1
"",,ESSRIG ELEMENTARY,Elem,,2,,,,1,3
"",,LINCOLN ELEMENTARY MAGNET,Elem,,4,4,,1,5,14
"",,LOCKHART ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,1,1,,,,2
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,2,,1,1,4
"",,MULLER ELEMENTARY MAGNET,Elem,,,2,,,1,3
"",,RAMPELLO K-8,K-8,,1,2,,2,,5
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,4,,,1,,5
"",,ROLAND PARK K-8 MAGNET,K-8,,,2,,,10,12
"",,SHORE ELEMENTARY,Elem,,1,,,,,1
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,1,,,,2
"",,WILSON ELEMENTARY,Elem,,,1,,,,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,,,,2,2
"",Magnet Total,,,,16,15,,5,20,56
"",Neighborhood,APOLLO BEACH ELEMENTARY,Elem,,,1,,,8,9
"",,BAILEY ELEMENTARY,Elem,,,3,,1,1,5
"",,BELMONT ELEMENTARY SCHOOL,Elem,,,1,,,,1
"",,BRYAN PLANT CITY ELEMENTARY,Elem,,1,2,,,,3
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Blank/Bad Addr,Neighborhood,CLAIR MEL ELEMENTARY,Elem,,1,,,,,1
"",,CLARK ELEMENTARY,Elem,,1,1,,,,2
"",,CLAYWELL ELEMENTARY,Elem,,,1,,,,1
"",,COLSON ELEMENTARY,Elem,,,1,,,,1
"",,CORK ELEMENTARY,Elem,,,1,,,1,2
"",,CRESTWOOD ELEMENTARY,Elem,,,,,,1,1
"",,DAVIS ELEMENTARY,Elem,,,1,,,,1
"",,DEER PARK ELEMENTARY,Elem,,,1,,,2,3
"",,DUNBAR ELEMENTARY,Elem,,1,,,2,,3
"",,ESSRIG ELEMENTARY,Elem,,1,1,,,,2
"",,FOLSOM ELEMENTARY,Elem,,,2,,,1,3
"",,FOSTER ELEMENTARY,Elem,,,1,,,,1
"",,FROST ELEMENTARY,Elem,,1,,,,,1
"",,GIBSONTON ELEMENTARY,Elem,,,,,,1,1
"",,GRADY ELEMENTARY,Elem,,,,,,1,1
"",,HAMMOND ELEMENTARY,Elem,,,2,,,,2
"",,HERITAGE ELEMENTARY,Elem,,1,,,,3,4
"",,HUNTER'S GREEN ELEMENTARY,Elem,,,1,,,2,3
"",,KINGSWOOD ELEMENTARY,Elem,,,,,,1,1
"",,KNIGHTS ELEMENTARY,Elem,,,,,,2,2
"",,LAKE MAGDALENE ELEMENTARY,Elem,,,,,,1,1
"",,LAMB ELEMENTARY,Elem,,1,,,,,1
"",,LANIER ELEMENTARY,Elem,,,,,,2,2
"",,LINCOLN ELEMENTARY MAGNET,Elem,,,,,,1,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,2,,,,,2
"",,LOWRY ELEMENTARY,Elem,,,,,,2,2
"",,LUTZ K-8 SCHOOL,K-8,1,,,,,2,3
"",,MANISCALCO K-8 SCHOOL,K-8,,,1,,,,1
"",,MCKITRICK ELEMENTARY,Elem,,,,,1,,1
"",,MILES ELEMENTARY,Elem,,,,,,2,2
"",,OAK GROVE ELEMENTARY,Elem,,,,,,1,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Blank/Bad Addr,Neighborhood,POTTER ELEMENTARY,Elem,,2,,,,,2
"",,PRIDE ELEMENTARY,Elem,,,,,,3,3
"",,REDDICK ELEMENTARY,Elem,,,3,,,,3
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,1,,,,,1
"",,SPRINGHEAD ELEMENTARY,Elem,,,2,,,,2
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,,,1
"",,TAMPA PALMS ELEMENTARY,Elem,,,,,1,,1
"",,THOMPSON ELEMENTARY,Elem,,,1,,,1,2
"",,TINKER K-8 SCHOOL,K-8,,,,,,1,1
"",,TURNER BARTELS K-8,K-8,,,6,,,8,14
"",,WALDEN LAKE ELEMENTARY,Elem,,,1,,,1,2
"",,WESTCHASE ELEMENTARY,Elem,,,,,,1,1
"",,WIMAUMA ELEMENTARY,Elem,,1,1,,,,2
"",,WITTER ELEMENTARY,Elem,,,,,,1,1
"","Neighborhood
Total",,,1,15,35,,7,54,112
"Blank/Bad Addr Total
6815839431206871,430",,,,,,,,,,
Alafia,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,,,1,,,,1
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,,,1,,1
"",,LEARNING GATE COMMUNITY,K-8,,,,,,1,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,,2,,,,2
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,6,8,,2,10,26
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,,,,,6,6
"",,WINTHROP CHARTER SCHOOL,K-8,,,,,1,1,2
"",Charter Total,,,,6,11,,4,18,39
"",Choice,ALAFIA ELEMENTARY,Elem,,,5,,2,5,12
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,2,2
"",,BUCKHORN ELEMENTARY,Elem,,,,,,4,4
"",,CIMINO ELEMENTARY,Elem,,,3,,1,12,16
"",,COLLINS PK-8 SCHOOL,K-8,,,1,,,,1
"",,LITHIA SPRINGS ELEMENTARY,Elem,,,,,,1,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Alafia,Choice,SEFFNER ELEMENTARY,Elem,,,,,1,1,2
"",,STOWERS ELEMENTARY,Elem,,,,,2,,2
"",,SYMMES ELEMENTARY,Elem,,,,,,1,1
"",,VALRICO ELEMENTARY,Elem,,,,,,2,2
"",Choice Total,,,,,9,,6,29,44
"",Magnet,RIVERHILLS ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,,,1,,1
"",Magnet Total,,,,1,,,1,,2
"",Neighborhood,ALAFIA ELEMENTARY,Elem,6,37,102,,41,209,395
"",,CIMINO ELEMENTARY,Elem,,,3,,1,3,7
"",,GIBSONTON ELEMENTARY,Elem,,1,,,,,1
"",,KINGSWOOD ELEMENTARY,Elem,,,1,,,,1
"",,MINTZ ELEMENTARY,Elem,,,1,,,,1
"",,PALM RIVER ELEMENTARY,Elem,,1,,,,,1
"","Neighborhood
Total",,,6,39,107,,42,212,406
"Alafia Total
64612753259491",,,,,,,,,,
Alexander,Charter,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,,,,1,1
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,19,,,,19
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,,3,,,,3
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,2,,,1,3
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,,3,,,,3
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,3,,,,3
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,,1,,,2,3
"",,WOODMONT CHARTER SCHOOL,K-8,,,1,,,,1
"",Charter Total,,,,,32,,,4,36
"",Choice,ALEXANDER ELEMENTARY,Elem,,,4,,,,4
"",,BELLAMY ELEMENTARY,Elem,,,1,,,,1
"",,CANNELLA ELEMENTARY,Elem,,,1,,,,1
"",,CITRUS PARK ELEMENTARY,Elem,,,1,,,,1
"",,CRESTWOOD ELEMENTARY,Elem,,,4,,,1,5
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Alexander,Choice,HAMMOND ELEMENTARY,Elem,,,1,,,,1
"",,LOWRY ELEMENTARY,Elem,,,1,,,,1
"",,MENDENHALL ELEMENTARY,Elem,,,3,,1,,4
"",,OAK GROVE ELEMENTARY,Elem,,,1,,,,1
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,,,2,,,,2
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,,,,1,1
"",,TWIN LAKES ELEMENTARY,Elem,,,2,,,,2
"",,WESTCHASE ELEMENTARY,Elem,,,,,1,,1
"",Choice Total,,,,1,24,,2,2,29
"",Magnet,DUNBAR ELEMENTARY,Elem,,,1,,,,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,1,,,,1
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,1,,,,1
"",,ROLAND PARK K-8 MAGNET,K-8,,2,3,,,,5
"",,SHORE ELEMENTARY,Elem,,,1,,,,1
"",Magnet Total,,,,2,7,,,,9
"",Neighborhood,ALEXANDER ELEMENTARY,Elem,3,4,362,,12,16,397
"",,BELLAMY ELEMENTARY,Elem,,,2,,,,2
"",,CANNELLA ELEMENTARY,Elem,,,1,,,,1
"",,CRESTWOOD ELEMENTARY,Elem,,,9,,,,9
"",,EGYPT LAKE ELEMENTARY,Elem,,,7,,,1,8
"",,MENDENHALL ELEMENTARY,Elem,,,5,,,,5
"",,OAK GROVE ELEMENTARY,Elem,,,1,,,,1
"",,ROLAND PARK K-8 MAGNET,K-8,,,1,,,,1
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,2,,,,2
"",,WITTER ELEMENTARY,Elem,,,2,,,,2
"","Neighborhood
Total",,,3,4,392,,12,17,428
"Alexander Total
374551423502",,,,,,,,,,
Anderson,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,,,,1,1,2
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,2,,,2,4
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,,,1,1,3
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Anderson,Charter,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,,,,2,2
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,,1,,,1,2
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,1,,,4,5
"",Charter Total,,,,1,6,,2,11,20
"",Choice,ANDERSON ELEMENTARY,Elem,,1,,,,1,2
"",,BALLAST POINT ELEMENTARY,Elem,,,,,1,4,5
"",,CHIARAMONTE ELEMENTARY,Elem,,3,1,,5,4,13
"",,GRADY ELEMENTARY,Elem,,,1,,,1,2
"",,LANIER ELEMENTARY,Elem,,1,,,1,1,3
"",,MABRY ELEMENTARY,Elem,,,,,,1,1
"",,MITCHELL ELEMENTARY,Elem,,,,,1,,1
"",Choice Total,,,,5,2,,8,12,27
"",ESE Placed,CHIARAMONTE ELEMENTARY,Elem,,,1,,,,1
"","ESE Placed
Total",,,,,1,,,,1
"",Magnet,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,1,,,,,2,3
"",,RAMPELLO K-8,K-8,,,1,,,6,7
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,ROLAND PARK K-8 MAGNET,K-8,1,,2,,1,4,8
"",,SHORE ELEMENTARY,Elem,,2,,,,,2
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,,,,,1,1
"",Magnet Total,,,2,4,3,,1,13,23
"",Neighborhood,ANDERSON ELEMENTARY,Elem,15,40,56,,36,96,243
"",,BALLAST POINT ELEMENTARY,Elem,,,,,2,2,4
"",,CHIARAMONTE ELEMENTARY,Elem,2,3,2,,3,5,15
"",,GRADY ELEMENTARY,Elem,1,,1,,,2,4
"",,LANIER ELEMENTARY,Elem,,2,1,,1,3,7
"",,MABRY ELEMENTARY,Elem,,,,,,2,2
"",,NELSON ELEMENTARY,Elem,,,,,1,,1
"",,NORTHWEST ELEMENTARY,Elem,,,1,,,,1
Zoned School,Placement,Current School,School,Asian,Black,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,Total
"",Neighborhood,,,,,,,,,
Anderson,Total,,,20,45,61,,45,110,281
Anderson Total,,,,22,55,73,,56,146,352
Apollo Beach,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,,,,,1
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,2,,,,1,16,19
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,,1,,,2,3
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,1,5,8,,3,20,37
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,1,,,1,,2
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,,,,1,1
"",,WATERSET CHARTER SCHOOL,K-8,,1,9,,,22,32
"",,WINTHROP CHARTER SCHOOL,K-8,,,,,,1,1
"",Charter Total,,,3,8,18,,5,62,96
"",Choice,APOLLO BEACH ELEMENTARY,Elem,,,,,2,,2
"",,CLARK ELEMENTARY,Elem,,3,,,,,3
"",,CORR ELEMENTARY,Elem,,,,,,1,1
"",,LITHIA SPRINGS ELEMENTARY,Elem,,,,,,1,1
"",,MABRY ELEMENTARY,Elem,,,,,,1,1
"",,MCKITRICK ELEMENTARY,Elem,,,1,,,,1
"",,SESSUMS ELEMENTARY,Elem,,,,,,1,1
"",,WILSON ELEMENTARY,Elem,,,1,,,,1
"",Choice Total,,,,3,2,,2,4,11
"",ESE Placed,KENLY ELEMENTARY,Elem,,,1,,,,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,,,,1,1
"",ESE Placed,,,,,,,,,
"",Total,,,,,1,,,1,2
"",Magnet,DUNBAR ELEMENTARY,Elem,,1,,,,1,2
"",,YORK PK-8 MAGNET SCHOOL,K-8,5,1,9,,12,39,66
"",Magnet Total,,,5,2,9,,12,40,68
"",Neighborhood,APOLLO BEACH ELEMENTARY,Elem,10,31,113,1,41,254,450
"",,CORR ELEMENTARY,Elem,,3,4,,,2,9
"",,DOBY ELEMENTARY,Elem,1,,,,,,1
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,,1,,,,1
Zoned School,Placement,Current School,School,Asian,Black,,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,,Total
Apollo Beach,Neighborhood,THOMPSON ELEMENTARY,Elem,,1,,,,,,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,,1,,,2,3
"",Neighborhood,,,,,,,,,,
"",Total,,,11,35,,119,1,41,258,465
Apollo Beach Total,,,,19,48,,149,1,60,365,642
Bailey,Charter,ADVANTAGE ACADEMY OF HILLSBOROUGH,K-8,1,,,1,,,,2
"",,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,,,1,,1,,2
"",,DR KIRAN C PATEL ELEMENTARY,Elem,1,4,,3,,,2,10
"",,INDEPENDENCE ACADEMY,K-8,3,4,,25,,1,58,91
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,2,,,,,,2
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,,,,,,,2,2
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,1,,,,,,1
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,1,,,,,1,2
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,1,,2,,,,3
"",Charter Total,,,5,13,,32,,2,63,115
"",Choice,ALAFIA ELEMENTARY,Elem,,,,1,,,,1
"",,BAILEY ELEMENTARY,Elem,,,,,,2,5,7
"",,BEVIS ELEMENTARY,Elem,,,,1,,,,1
"",,COLSON ELEMENTARY,Elem,,,,,,,1,1
"",,CORK ELEMENTARY,Elem,,,,2,,,12,14
"",,CRESTWOOD ELEMENTARY,Elem,,,,,,,1,1
"",,DOVER ELEMENTARY,Elem,,,,4,,,,4
"",,FOLSOM ELEMENTARY,Elem,,,,,,,1,1
"",,KENLY ELEMENTARY,Elem,,2,,,,,,2
"",,KNIGHTS ELEMENTARY,Elem,,1,,2,,1,8,12
"",,LIMONA ELEMENTARY,Elem,,,,,,,1,1
"",,LOPEZ ELEMENTARY,Elem,,2,,1,,,2,5
"",,MABRY ELEMENTARY,Elem,,,,,,,1,1
"",,MANGO ELEMENTARY,Elem,,,,,,,1,1
"",,SCHMIDT ELEMENTARY,Elem,,1,,,,,2,3
"",,SEFFNER ELEMENTARY,Elem,,2,,,,,,2
"",,SESSUMS ELEMENTARY,Elem,,,,,,,1,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Bailey,Choice,THONOTOSASSA ELEMENTARY,Elem,,1,,,,,1
"",,TRAPNELL ELEMENTARY,Elem,,,2,,,,2
"",,TURNER BARTELS K-8,K-8,,,1,,,,1
"",,VALRICO ELEMENTARY,Elem,,,2,,,1,3
"",,WALDEN LAKE ELEMENTARY,Elem,,,2,,,3,5
"",,WILSON ELEMENTARY,Elem,,,1,,,,1
"",,YATES ELEMENTARY,Elem,,,,,,2,2
"",Choice Total,,,,9,19,,3,42,73
"",ESE Center,DOVER ELEMENTARY,Elem,,,1,,,,1
"","ESE Center
Total",,,,,1,,,,1
"",Magnet,LINCOLN ELEMENTARY MAGNET,Elem,,,3,,1,7,11
"",,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,1,,,,1
"",,MULLER ELEMENTARY MAGNET,Elem,,,,,,1,1
"",,RAMPELLO K-8,K-8,,1,1,,,2,4
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,,,1,,1
"",,ROLAND PARK K-8 MAGNET,K-8,1,,,,,,1
"",,SHORE ELEMENTARY,Elem,,1,,,,1,2
"",Magnet Total,,,1,3,5,,2,11,22
"",Neighborhood,BAILEY ELEMENTARY,Elem,7,28,291,1,28,244,599
"",,BELMONT ELEMENTARY SCHOOL,Elem,,,,,,2,2
"",,CIMINO ELEMENTARY,Elem,,,1,,,,1
"",,CORK ELEMENTARY,Elem,,,2,,,5,7
"",,DOVER ELEMENTARY,Elem,,,5,,,,5
"",,KNIGHTS ELEMENTARY,Elem,,1,3,,1,4,9
"",,LOPEZ ELEMENTARY,Elem,,1,4,,5,,10
"",,TRAPNELL ELEMENTARY,Elem,,1,,,,,1
"",,YATES ELEMENTARY,Elem,,,,,3,,3
"","Neighborhood
Total",,,7,31,306,1,37,255,637
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Ballast Point,Charter,BRIDGEPREP ACADEMY OF TAMPA,K-8,,,,,,1,1
"",Charter Total,,,,,,,,1,1
"",Choice,BALLAST POINT ELEMENTARY,Elem,,1,,,1,2,4
"",,CHIARAMONTE ELEMENTARY,Elem,,3,,,1,,4
"",,MABRY ELEMENTARY,Elem,,,1,,,1,2
"",,ROOSEVELT ELEMENTARY,Elem,,,,,,2,2
"",,TINKER K-8 SCHOOL,K-8,,,,,1,1,2
"",Choice Total,,,,4,1,,3,6,14
"",Magnet,MACFARLANE PARK ELEM MAGNET,Elem,,,,,2,1,3
"",,RAMPELLO K-8,K-8,,,,,,4,4
"",,ROLAND PARK K-8 MAGNET,K-8,,,,,3,5,8
"",Magnet Total,,,,,,,5,10,15
"",Neighborhood,BALLAST POINT ELEMENTARY,Elem,15,19,67,,44,223,368
"",,CHIARAMONTE ELEMENTARY,Elem,,,,,1,1,2
"",,MABRY ELEMENTARY,Elem,,,1,,,,1
"",,TINKER K-8 SCHOOL,K-8,,,,,1,2,3
"",,WEST SHORE ELEMENTARY,Elem,,,1,,,,1
"","Neighborhood
Total",,,15,19,69,,46,226,375
"Ballast Point Total
15237054243405",,,,,,,,,,
Bay Crest,Charter,BRIDGEPREP ACADEMY OF TAMPA,K-8,,1,1,,,,2
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,1,9,,,2,12
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,3,7,58,,3,29,100
"",,HORIZON CHARTER SCH OF TAMPA,K-8,1,1,12,,3,4,21
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,2,,1,7,10
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,3,5,,1,,9
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,5,,,8,13
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,,,,1,,1
