School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
BROOKS DEBARTOLO COLLEGIATE Total589920249186594,,,,,,,,,,
"",CHAMBERLAIN HIGH SCHOOL,Choice,Alonso,,,,,,1,1
"",,,Armwood,,,1,,1,,2
"",,,Blake,,,,,,1,1
"",,,Chamberlain,1,5,13,,2,3,24
"",,,Freedom,,2,5,,,,7
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,CHAMBERLAIN HIGH SCHOOL,Choice,Hillsborough,1,3,5,,2,1,12
"",,,Jefferson,,,1,,,,1
"",,,King,,7,6,,2,1,16
"",,,Lennard,,,1,,,,1
"",,,Leto,,,2,,,,2
"",,,Middleton,,6,2,,,,8
"",,,Spoto,,1,,,,,1
"",,,Steinbrenner,,,,,,1,1
"",,,Wharton,,9,31,,4,3,47
"",,Choice Total,,2,33,69,,11,11,126
"",,District Assigned,Wharton,,,,,1,,1
"",,District Assigned Total,,,,,,1,,1
"",,Hope Sch,Freedom,,1,,,,,1
"",,,Hillsborough,,,,,,1,1
"",,,King,,1,,,1,,2
"",,,Middleton,,2,,,,,2
"",,,Wharton,,,1,,,,1
"",,Hope Sch Total,,,4,1,,1,1,7
"",,Magnet,Chamberlain,1,,2,,,2,5
"",,Magnet Total,,1,,2,,,2,5
"",,Neighborhood,Bloomingdale,,,,,,1,1
"",,,Brandon,,1,,,,,1
"",,,Chamberlain,25,296,580,,46,129,"1,076"
"",,,Freedom,,,1,,,,1
"",,,Gaither,,,,,,1,1
"",,,Hillsborough,,,1,,,1,2
"",,,King,,1,,,,1,2
"",,,Lennard,,,,,,1,1
"",,,Leto,,,1,,,,1
"",,,Middleton,,3,,,,1,4
"",,,Spoto,,1,,,,,1
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,CHAMBERLAIN HIGH SCHOOL,Neighborhood,Wharton,,1,3,,1,,5
"",,Neighborhood Total,,25,303,587,,47,135,"1,097"
"CHAMBERLAIN HIGH SCHOOL Total28340659601491,236",,,,,,,,,,
"",DR KIRAN C PATEL HIGH SCHOOL,Charter,Blank/Bad Addr,15,16,16,,4,23,74
"",,,Alonso,2,1,4,,,,7
"",,,Armwood,14,16,22,,3,9,64
"",,,Blake,,4,2,,,1,7
"",,,Bloomingdale,,3,,,,,3
"",,,Brandon,2,,9,,2,4,17
"",,,Chamberlain,2,5,15,,3,9,34
"",,,Durant,,2,,,,,2
"",,,East Bay,1,3,,,1,1,6
"",,,Freedom,17,7,22,,7,31,84
"",,,Gaither,2,1,3,1,2,3,12
"",,,Hillsborough,,2,3,,1,4,10
"",,,Jefferson,1,1,1,,,,3
"",,,King,7,26,26,,5,48,112
"",,,Lennard,,1,,,1,,2
"",,,Leto,,3,1,,,,4
"",,,Middleton,,3,2,,1,1,7
"",,,Newsome,,,1,,,,1
"",,,Plant,,,1,,,1,2
"",,,Plant City,2,,,,1,,3
"",,,Riverview,,,2,,,,2
"",,,Spoto,1,4,4,,1,3,13
"",,,Steinbrenner,,,1,,,1,2
"",,,Strawberry Crest,,3,4,,,,7
"",,,Sumner,,1,,,,,1
"",,,Wharton,25,29,39,1,25,58,177
"",,Charter Total,,91,131,178,2,57,197,656
DR KIRAN C PATEL HIGH SCHOOL Total91131178257197656,,,,,,,,,,
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,DURANT HIGH SCHOOL,Choice,Armwood,,1,2,,,4,7
"",,,Blake,,,1,,,,1
"",,,Bloomingdale,,2,2,,1,17,22
"",,,Brandon,5,11,32,,5,55,108
"",,,Durant,,1,7,,,16,24
"",,,East Bay,,1,2,,,,3
"",,,King,,,,,,1,1
"",,,Newsome,2,1,1,,3,27,34
"",,,Plant City,,7,1,,1,13,22
"",,,Riverview,,,2,,2,8,12
"",,,Spoto,1,,2,,,4,7
"",,,Strawberry Crest,,,,,,11,11
"",,,Sumner,,,1,,,6,7
"",,,Wharton,,,,,,2,2
"",,Choice Total,,8,25,55,,12,173,273
"",,Hope Sch,Brandon,,1,1,,,,2
"",,,Durant,,,,,,1,1
"",,,Newsome,,,,,,1,1
"",,,Plant City,,,,,,1,1
"",,Hope Sch Total,,,1,1,,,3,5
"",,Magnet,Durant,,,1,,,3,4
"",,Magnet Total,,,,1,,,3,4
"",,Neighborhood,Blank/Bad Addr,,,,,,1,1
"",,,Brandon,,,,,1,1,2
"",,,Durant,60,208,822,5,104,968,"2,167"
"",,,King,,,,,1,,1
"",,,Newsome,,,1,,,2,3
"",,,Plant City,,,2,,,2,4
"",,,Spoto,,,1,,,,1
"",,,Strawberry Crest,,,1,,,,1
"",,,Wharton,,,,,,1,1
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
"HighDURANT HIGH SCHOOL Total6823488451181,1542,463",,,,,,,,,,
"",EAST BAY HIGH SCHOOL,Choice,Blake,,1,2,,1,2,6
"",,,Bloomingdale,,,1,,,,1
"",,,Brandon,,1,1,,,,2
"",,,East Bay,,1,1,,2,7,11
"",,,Freedom,,,1,,,,1
"",,,King,,1,,,,,1
"",,,Lennard,,1,4,,1,19,25
"",,,Newsome,,,,,,1,1
"",,,Riverview,,2,2,,,9,13
"",,,Robinson,,1,,,,,1
"",,,Spoto,,7,8,,,9,24
"",,,Sumner,,9,11,,3,13,36
"",,Choice Total,,,24,31,,7,60,122
"",,Hope Sch,East Bay,,,1,,,,1
"",,,Lennard,,2,,,,,2
"",,,Riverview,,,1,,,,1
"",,,Spoto,,1,,,,,1
"",,,Sumner,,,,,,2,2
"",,Hope Sch Total,,,3,2,,,2,7
"",,Magnet,East Bay,,,1,,,3,4
"",,Magnet Total,,,,1,,,3,4
"",,Neighborhood,Armwood,,,,,,2,2
"",,,Blake,,,,,1,,1
"",,,East Bay,27,473,661,6,98,471,"1,736"
"",,,Freedom,,,1,,,,1
"",,,King,,,,,1,,1
"",,,Lennard,,1,1,,,2,4
"",,,Newsome,,,,,,1,1
"",,,Riverview,,,1,,,4,5
"",,,Spoto,,,1,,,1,2
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,EAST BAY HIGH SCHOOL,Neighborhood Total,,27,478,668,6,100,482,"1,761"
"EAST BAY HIGH SCHOOL Total2750570261075471,894",,,,,,,,,,
"",FREEDOM HIGH SCHOOL,Choice,Blank/Bad Addr,1,11,6,,3,5,26
"",,,Alonso,,,,,1,1,2
"",,,Armwood,,,4,,,,4
"",,,Blake,,,1,,,,1
"",,,Bloomingdale,,1,,,,,1
"",,,Chamberlain,1,,1,,,,2
"",,,East Bay,,1,1,,,,2
"",,,Freedom,,3,5,,1,3,12
"",,,Gaither,,1,,,,,1
"",,,Hillsborough,,,1,,,,1
"",,,King,1,6,3,,3,12,25
"",,,Leto,,,1,,,,1
"",,,Middleton,,2,,,,,2
"",,,Riverview,,1,,,,,1
"",,,Strawberry Crest,,,1,,,,1
"",,,Wharton,2,9,12,,3,23,49
"",,Choice Total,,5,35,36,,11,44,131
"",,Hope Sch,Wharton,,,1,,,,1
"",,Hope Sch Total,,,,1,,,,1
"",,Magnet,Freedom,,1,,,,2,3
"",,Magnet Total,,,1,,,,2,3
"",,Neighborhood,Blank/Bad Addr,,,1,,,,1
"",,,Armwood,,1,,,,,1
"",,,Blake,,1,,,,,1
"",,,Chamberlain,,2,,,,3,5
"",,,Freedom,71,435,759,1,99,349,"1,714"
"",,,Gaither,,2,1,,,,3
"",,,Hillsborough,,,1,,,,1
"",,,King,,3,,,,,3
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,FREEDOM HIGH SCHOOL,Neighborhood,Robinson,,1,,,,,1
"",,,Wharton,,2,4,,,6,12
"",,Neighborhood Total,,71,448,766,1,99,358,"1,743"
"FREEDOM HIGH SCHOOL Total7648480311104041,878",,,,,,,,,,
"",GAITHER HIGH SCHOOL,Choice,Blank/Bad Addr,2,1,10,,3,12,28
"",,,Alonso,,,3,,,3,6
"",,,Blake,,,3,,,,3
"",,,Bloomingdale,,1,1,,,,2
"",,,Chamberlain,3,6,30,,10,76,125
"",,,Freedom,2,5,24,,1,29,61
"",,,Gaither,1,8,14,,2,9,34
"",,,Hillsborough,,1,2,,2,4,9
"",,,Jefferson,,,1,,,,1
"",,,King,,2,,,,1,3
"",,,Lennard,,,,,,1,1
"",,,Leto,2,2,15,,1,10,30
"",,,Riverview,,,1,,,2,3
"",,,Sickles,,,9,,1,13,23
"",,,Spoto,,1,,,,,1
"",,,Steinbrenner,2,3,10,,2,11,28
"",,,Wharton,,2,8,,,,10
"",,Choice Total,,12,32,131,,22,171,368
"",,Hope Sch,Alonso,,,,,,1,1
"",,,Chamberlain,,1,1,,,2,4
"",,,Freedom,,,1,,,,1
"",,,Leto,,1,,,,,1
"",,Hope Sch Total,,,2,2,,,3,7
"",,Neighborhood,Blank/Bad Addr,,,,,1,,1
"",,,Alonso,,,1,,,,1
"",,,Chamberlain,1,1,5,,,4,11
"",,,Freedom,,,2,,,2,4
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,GAITHER HIGH SCHOOL,Neighborhood,Hillsborough,,,1,,,,1
"",,,Jefferson,,,1,,,,1
"",,,King,,2,,,,,2
"",,,Leto,,,2,,,1,3
"",,,Middleton,,1,,,,,1
"",,,Sickles,,1,3,,,,4
"",,,Steinbrenner,,,,,,2,2
"",,,Wharton,1,3,1,,,1,6
"",,Neighborhood Total,,50,144,837,2,107,567,"1,707"
"GAITHER HIGH SCHOOL Total6217897021297412,082",,,,,,,,,,
"",HILLSBOROUGH HIGH SCHOOL,Choice,Blank/Bad Addr,,1,,,,1,2
"",,,Alonso,,,,,,1,1
"",,,Armwood,,5,,,1,,6
"",,,Blake,1,9,1,,1,1,13
"",,,Bloomingdale,,1,,,,,1
"",,,Chamberlain,3,11,13,1,2,6,36
"",,,Freedom,,7,,,2,,9
"",,,Gaither,,2,,,,1,3
"",,,Hillsborough,,8,12,,4,3,27
"",,,Jefferson,,1,,,,,1
"",,,King,,17,5,,2,1,25
"",,,Leto,,1,2,,,1,4
"",,,Middleton,,43,14,,5,1,63
"",,,Plant,,1,,,,,1
"",,,Robinson,,,,,,1,1
"",,,Sickles,1,,,,,,1
"",,,Spoto,,2,1,,,,3
"",,,Steinbrenner,,1,,,,,1
"",,,Wharton,1,1,3,1,,,6
"",,Choice Total,,6,111,51,2,17,17,204
"",,Hope Sch,Blake,,1,,,,,1
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,HILLSBOROUGH HIGH SCHOOL,Hope Sch,King,,1,1,,,,2
"",,,Middleton,,2,,,,,2
"",,Hope Sch Total,,,5,1,,,,6
"",,Magnet,Blank/Bad Addr,2,1,1,,1,2,7
"",,,Alonso,9,,,,1,3,13
"",,,Armwood,,1,,,1,,2
"",,,Blake,,,2,,,2,4
"",,,Bloomingdale,,,1,,,1,2
"",,,Brandon,,,,,1,1,2
"",,,Chamberlain,13,1,17,,3,25,59
"",,,East Bay,1,1,2,,1,,5
"",,,Freedom,4,3,3,,2,10,22
"",,,Gaither,9,5,1,,6,7,28
"",,,Hillsborough,2,13,42,1,5,35,98
"",,,Jefferson,,,1,,1,,2
"",,,King,2,2,2,,,4,10
"",,,Lennard,,,,,,1,1
"",,,Leto,4,,4,,1,1,10
"",,,Middleton,1,4,6,,,5,16
"",,,Plant,,,,,,2,2
"",,,Plant City,1,,,,,,1
"",,,Robinson,,,1,,,,1
"",,,Sickles,30,1,2,1,2,10,46
"",,,Spoto,,2,,,,3,5
"",,,Steinbrenner,27,,5,,2,11,45
"",,,Sumner,,2,1,,,,3
"",,,Wharton,5,7,5,,1,10,28
"",,Magnet Total,,110,43,96,2,28,133,412
"",,Neighborhood,Blank/Bad Addr,,1,,,,,1
"",,,Alonso,,,1,,,,1
"",,,Blake,,2,,,,,2
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,HILLSBOROUGH HIGH SCHOOL,Neighborhood,Brandon,,,,,1,,1
"",,,Chamberlain,,,4,,,,4
"",,,Freedom,,,,,1,,1
"",,,Gaither,,,1,,,1,2
"",,,Hillsborough,21,347,580,,33,118,"1,099"
"",,,Jefferson,,,2,,,,2
"",,,King,,4,,,,,4
"",,,Leto,,,1,,,2,3
"",,,Middleton,,12,2,,,,14
"",,,Plant,,,1,,,,1
"",,,Sickles,1,,,,,1,2
"",,,Spoto,,1,,,,,1
"",,,Wharton,,2,1,,1,,4
"",,Neighborhood Total,,22,372,593,,36,122,"1,145"
"HILLSBOROUGH HIGH SCHOOL Total1385317424812721,768",,,,,,,,,,
"",JEFFERSON HIGH SCHOOL,Choice,Blank/Bad Addr,,1,,,1,,2
"",,,Alonso,,,2,,,,2
"",,,Armwood,,,3,,,,3
"",,,Blake,,11,7,,1,4,23
"",,,Bloomingdale,,2,2,,,,4
"",,,Chamberlain,,7,14,,,,21
"",,,East Bay,,1,,,2,1,4
"",,,Freedom,,2,2,,,,4
"",,,Gaither,,1,2,,,,3
"",,,Hillsborough,1,3,11,1,,1,17
"",,,Jefferson,,3,8,,,,11
"",,,King,,8,5,,1,,14
"",,,Leto,,4,10,,,,14
"",,,Middleton,,25,6,,2,1,34
"",,,Newsome,,1,,,,,1
"",,,Plant,,2,2,,,,4
School Level,Current School,Current Placement,Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
High,JEFFERSON HIGH SCHOOL,Choice,Riverview,,1,,,,,1
"",,,Robinson,,3,1,,,5,9
"",,,Sickles,,1,,,,,1
"",,,Spoto,,4,4,,1,,9
"",,,Sumner,,2,,,,,2
"",,,Wharton,,7,3,1,,,11
"",,Choice Total,,1,90,82,2,8,12,195
"",,Hope Sch,Blake,,1,,,,,1
"",,,Hillsborough,,,1,,,,1
"",,,Leto,,,2,,,,2
"",,,Middleton,,3,,,,,3
"",,,Spoto,,1,,,,,1
"",,,Sumner,,1,,,,,1
"",,Hope Sch Total,,,6,3,,,,9
"",,Magnet,Blank/Bad Addr,,2,1,,,,3
"",,,Alonso,,1,3,,,2,6
"",,,Armwood,1,13,4,,,,18
"",,,Blake,,15,9,,,,24
"",,,Bloomingdale,,2,2,,,,4
"",,,Brandon,1,5,7,,2,4,19
"",,,Chamberlain,,9,21,,3,5,38
"",,,Durant,1,2,,,,,3
"",,,East Bay,,10,4,,,,14
"",,,Freedom,,6,4,,2,,12
"",,,Gaither,,1,4,,2,1,8
"",,,Hillsborough,,11,28,,2,5,46
"",,,Jefferson,,7,53,,2,6,68
"",,,King,,25,10,,,4,39
