synopsis_append,synopsis_category
DISTURBANCE WEAPONS/LIFE-THREAT/VIOLENT,weapon
DOMESTIC VIOL/GETTING BELONGINGS,violence
BATTERY ON A LAW ENFORCEMENT OFFICER GO 2022-380128,violence
DOMESTIC DISPUTE W/BATTERY,violence
VIOL/NAVIGABLE WATERS,other
OUT/NON POLICE FUNCTION,other
BURGLARY OF AN UNOCCUPIED STRUCTURE (Charges Link to Multiple Events),theft
AGGRAVATED ASSAULT ON LAW ENFORCEMENT OFFICER WITH DEADLY WEAPON GO 2022-483215,violence
(BACKFILL) ATTEMPT TO CONTACT,other
(BACKFILL) BUILDING CHECK,other
MIDDLE SCHOOL BUILDING CHECK,other
(HCSO) SUPPLEMENT REPORT,other
(BACKFILL) IN-SERVICE TRAINING,other
ASSIST CHILD PROTECTION INVESTIGATORS (HCSO) Filter by:,other
(HCSO) SCHOOL RESOURCE OFFICER ASSGNMNT (BACKFILL),other
SEXUALLY CYBERHARASSMENT 1ST,sex crime
INTOXICATED PERSON,drugs
CHILD ABUSE (BATTERY),violence
BATTERY ON LIC SECURITY OFC,violence
BATTERY ON A SPECIFIED OFFICIAL OR EMPLOYEE GO 2022-340661,violence
BATTERY GO 2022-402548,violence
BATTERY ON DETENTION FACILITY STAFF GO 2022-344999,violence
DRIVING UNDER THE INFLUENCE WITH PROPERTY DAMAGE OR PERSONAL INJURY - GO 2023-168727,traffic
CHILD FAILURE TO APPEAR AT COURT HEARING GO 2022-493856,other
AGGRAVATED BATTERY-ALL OTHER WEAPONS,violence
POSSESSION OF A WEAPON ON SCHOOL PROPERTY GO 2022-403524,weapon
LEWD AND LASCIVIOUS CONDUCT BY PERSON,sex crime
IMPROPER EXHIBITION OF WEAPON OR FIREARM ON SCHOOL GROUNDS GO 2023-195489,weapon
CHILD FAILURE TO APPEAR AT COURT HEARING,other
POSSESSION OF A WEAPON ON SCHOOL PROPERTY GO 2023-152145,weapon
POSSESSION OF A WEAPON ON SCHOOL PROPERTY GO 2023-141853,weapon
TRESPASS UPON SCHOOL GROUNDS GO 2022- 459308,trespassing
BATTERY ON A SPECIFIED OFFICIAL OR EMPLOYEE GO 2022-456438,violence
CHILD VIOL OF PROB (EXECUTED),other
CPID Report,other
POSSESSION OF A WEAPON ON SCHOOL PROPERTY GO 2023-144473,weapon
"POSSESSION OF CANNABIS WITH INTENT TO SELL, MANUFACTURE, OR DELIVER WI GO 2023- 86574",drugs
TRESPASS UPON SCHOOL GROUNDS - subject snuck on to campus on two separ GO 2023-80323,trespassing
Adult Check,other
