district_number,district_name,school_number,virtual_provider_number,english_language_arts_achievement,mathematics_achievement,science_achievement,total_points_earned,total_components,percent_of_total_possible_points,percent_tested,informational_baseline_grade_2023,grade_2022,grade_2021,grade_2019,grade_2018,grade_2017,grade_2016,informational_baseline_grade_2015,grade_2014,grade_2013,grade_2012,grade_2011,grade_2010,grade_2009,grade_2008,grade_2007,grade_2006,grade_2005,grade_2004,grade_2003,grade_2002,grade_2001,grade_2000,grade_1999,was_the_collocated_rule_used,collocated_number,charter_school,title_i,alternative_ese_center_school,school_type,percent_of_minority_students,percent_of_economically_disadvantaged_students,type,social_studies_achievement,middle_school_acceleration,graduation_rate_2021_22,college_and_career_acceleration_2021_22,school_name,number_of_students,ela_level1_num,ela_level2_num,ela_level3_num,ela_level4_num,ela_level5_num,ela_level1,ela_level2,ela_level3,ela_level4,ela_level5,number_of_students_math,math_level1_num,math_level2_num,math_level3_num,math_level4_num,math_level5_num,math_level1,math_level2,math_level3,math_level4,math_level5
01,ALACHUA,0953,NA,55,70,34,159,3,53,99,B,A,NA,D,B,A,B,C,C,B,F,NA,NA,NA,NA,P,D,F,D,NA,NA,NA,NA,NA,N,NA,YES,YES,N,01,98.8,100,Elementary,NA,NA,NA,NA,CARING & SHARING LEARNING SCHOOL,111,21,27,39,15,9,0.1891891891891892,0.24324324324324326,0.35135135135135137,0.13513513513513514,0.08108108108108109,111,11,20,32,31,17,0.0990990990990991,0.18018018018018017,0.2882882882882883,0.27927927927927926,0.15315315315315314
01,ALACHUA,0956,NA,85,74,83,242,3,81,100,A,A,A,A,A,A,A,A,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,YES,NO,N,01,51.2,38.80000000000001,Elementary,NA,NA,NA,NA,EXPRESSIONS LEARNING ARTS ACAD,40,1,4,9,13,13,0.025,0.1,0.225,0.325,0.325,40,4,5,13,8,10,0.1,0.125,0.325,0.2,0.25
01,ALACHUA,0957,NA,88,91,90,269,3,90,100,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,N,NA,NA,NA,N,NA,YES,YES,N,01,35.2,36.4,Elementary,NA,NA,NA,NA,ALACHUA LEARNING ACADEMY ELEMENTARY,57,2,6,23,16,10,0.03508771929824561,0.10526315789473684,0.40350877192982454,0.2807017543859649,0.17543859649122806,57,2,3,17,22,13,0.03508771929824561,0.05263157894736842,0.2982456140350877,0.38596491228070173,0.22807017543859648
01,ALACHUA,0981,NA,67,67,75,209,3,70,100,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,YES,NO,N,01,25.2,17.599999999999994,Elementary,NA,NA,NA,NA,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,54,7,10,13,18,6,0.12962962962962962,0.18518518518518517,0.24074074074074073,0.3333333333333333,0.1111111111111111,54,8,6,24,11,5,0.14814814814814814,0.1111111111111111,0.4444444444444444,0.2037037037037037,0.09259259259259259
01,ALACHUA,1012,NA,65,81,55,201,3,67,100,A,B,A,A,B,A,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,YES,YES,N,01,73.4,95.5,Elementary,NA,NA,NA,NA,BOULWARE SPRINGS CHARTER,65,3,17,22,15,8,0.046153846153846156,0.26153846153846155,0.3384615384615385,0.23076923076923078,0.12307692307692308,65,6,7,29,13,10,0.09230769230769231,0.1076923076923077,0.4461538461538462,0.2,0.15384615384615385
01,ALACHUA,7023,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,A,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NO,NO,N,01,61.8,40.8,Elementary,NA,NA,NA,NA,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),26,0,1,4,4,2,0,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.07692307692307693,25,4,1,1,3,2,0.16,0.04,0.04,0.12,0.08
02,BAKER,0013,NA,67,82,NA,149,2,75,99,A,A,NA,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NO,YES,N,01,22.3,100,Elementary,NA,NA,NA,NA,MACCLENNY ELEMENTARY SCHOOL,198,18,57,65,40,18,0.09090909090909091,0.2878787878787879,0.3282828282828283,0.20202020202020202,0.09090909090909091,198,10,20,75,63,28,0.050505050505050504,0.10101010101010101,0.3787878787878788,0.3181818181818182,0.1414141414141414
02,BAKER,0031,NA,43,43,32,118,3,39,99,C,C,NA,C,C,C,C,C,D,D,C,D,B,B,C,C,D,C,C,B,D,C,C,C,N,NA,NO,YES,N,01,22.7,93.2,Elementary,NA,NA,NA,NA,J FRANKLYN KELLER INTERMEDIATE SCHOOL,702,228,141,149,121,59,0.3247863247863248,0.20085470085470086,0.21225071225071226,0.17236467236467237,0.08404558404558404,697,228,150,142,101,76,0.32711621233859395,0.2152080344332855,0.20373027259684362,0.1449067431850789,0.10903873744619799
02,BAKER,0091,NA,64,58,NA,122,2,61,99,B,A,NA,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NO,YES,N,01,15.8,100,Elementary,NA,NA,NA,NA,WESTSIDE ELEMENTARY SCHOOL,174,19,44,56,44,12,0.10919540229885058,0.25287356321839083,0.3218390804597701,0.25287356321839083,0.06896551724137931,174,28,35,52,45,12,0.16091954022988506,0.20114942528735633,0.2988505747126437,0.25862068965517243,0.06896551724137931
03,BAY,0081,NA,46,45,58,149,3,50,98,B,B,B,B,C,B,C,B,D,C,B,A,B,B,A,A,A,B,A,A,A,B,B,C,N,NA,NO,YES,N,01,43.3,62.9,Elementary,NA,NA,NA,NA,HUTCHISON BEACH ELEMENTARY SCHOOL,332,94,91,78,55,14,0.28313253012048195,0.2740963855421687,0.23493975903614459,0.16566265060240964,0.04216867469879518,330,106,78,79,52,15,0.3212121212121212,0.23636363636363636,0.23939393939393938,0.15757575757575756,0.045454545454545456
03,BAY,0091,NA,22,19,15,56,3,19,98,F,F,NA,C,D,C,F,D,F,D,D,C,C,A,B,C,C,C,C,A,D,C,C,C,N,NA,NO,YES,N,01,70.6,100,Elementary,NA,NA,NA,NA,CEDAR GROVE ELEMENTARY SCHOOL,305,165,75,40,23,4,0.5409836065573771,0.2459016393442623,0.13114754098360656,0.07540983606557378,0.013114754098360656,305,191,54,43,15,3,0.6262295081967213,0.17704918032786884,0.14098360655737704,0.04918032786885246,0.009836065573770493
03,BAY,0101,NA,45,57,35,137,3,46,98,C,D,NA,D,C,B,C,C,D,D,C,B,C,C,B,A,C,B,B,A,B,C,A,C,N,NA,NO,YES,N,01,57.9,100,Elementary,NA,NA,NA,NA,CALLAWAY ELEMENTARY SCHOOL,233,65,62,71,24,10,0.27896995708154504,0.26609442060085836,0.30472103004291845,0.10300429184549356,0.04291845493562232,234,51,52,62,52,18,0.21794871794871795,0.2222222222222222,0.26495726495726496,0.2222222222222222,0.07692307692307693
03,BAY,0111,NA,30,27,31,88,3,29,99,D,D,NA,A,A,B,F,D,D,C,B,A,A,A,A,B,A,A,A,A,C,A,C,C,N,NA,NO,YES,N,01,56.6,100,Elementary,NA,NA,NA,NA,MERRIAM CHERRY STREET ELEM.,199,71,69,37,15,7,0.35678391959798994,0.34673366834170855,0.18592964824120603,0.07537688442211055,0.035175879396984924,200,101,46,37,15,3,0.505,0.23,0.185,0.075,0.015
03,BAY,0131,NA,38,46,36,120,3,40,99,C,D,NA,C,D,D,D,C,F,D,C,B,C,B,A,B,A,B,C,A,B,C,C,C,N,NA,NO,YES,N,01,74.8,100,Elementary,NA,NA,NA,NA,LUCILLE MOORE ELEMENTARY SCHL,237,79,62,63,24,9,0.3333333333333333,0.2616033755274262,0.26582278481012656,0.10126582278481013,0.0379746835443038,236,75,44,74,32,12,0.3177966101694915,0.1864406779661017,0.3135593220338983,0.13559322033898305,0.05084745762711865
03,BAY,0151,NA,45,46,51,142,3,47,99,C,C,NA,C,C,C,D,D,C,B,A,A,B,A,A,A,A,A,A,A,B,A,A,C,N,NA,NO,YES,N,01,44.8,91,Elementary,NA,NA,NA,NA,HILAND PARK ELEMENTARY SCHOOL,262,82,61,60,45,15,0.31297709923664124,0.23282442748091603,0.22900763358778625,0.1717557251908397,0.05725190839694656,262,86,47,75,39,16,0.3282442748091603,0.17938931297709923,0.2862595419847328,0.14885496183206107,0.061068702290076333
03,BAY,0171,NA,50,52,53,155,3,52,100,B,C,NA,B,C,C,C,B,C,C,B,A,A,A,A,A,A,A,A,A,A,B,A,B,N,NA,NO,NO,N,01,27,79.9,Elementary,NA,NA,NA,NA,LYNN HAVEN ELEMENTARY SCHOOL,301,69,78,80,55,19,0.2292358803986711,0.2591362126245847,0.26578073089701,0.18272425249169436,0.06312292358803986,301,70,71,87,50,25,0.23255813953488372,0.23588039867109634,0.28903654485049834,0.16611295681063123,0.08305647840531562
03,BAY,0211,NA,33,35,52,120,3,40,99,C,D,NA,C,B,C,C,D,D,C,C,C,C,A,C,A,C,B,A,A,B,A,A,C,N,NA,NO,YES,N,01,63.5,100,Elementary,NA,NA,NA,NA,PARKER ELEMENTARY SCHOOL,220,75,63,47,27,9,0.3409090909090909,0.2863636363636364,0.21363636363636362,0.12272727272727273,0.04090909090909091,222,103,37,50,26,6,0.46396396396396394,0.16666666666666666,0.22522522522522523,0.11711711711711711,0.02702702702702703
03,BAY,0221,NA,60,60,55,175,3,58,99,B,A,B,C,B,B,C,C,D,C,B,A,A,A,A,A,A,A,A,A,A,B,C,C,N,NA,NO,YES,N,01,10.9,87.7,Elementary,NA,NA,NA,NA,SOUTHPORT ELEMENTARY SCHOOL,232,27,52,86,52,15,0.11637931034482758,0.22413793103448276,0.3706896551724138,0.22413793103448276,0.06465517241379311,232,36,45,68,64,19,0.15517241379310345,0.1939655172413793,0.29310344827586204,0.27586206896551724,0.08189655172413793
03,BAY,0251,NA,44,47,52,143,3,48,100,C,D,NA,C,D,C,C,C,D,C,C,C,C,A,B,A,A,A,A,A,D,C,C,D,N,NA,NO,YES,N,01,12.3,100,Elementary,NA,NA,NA,NA,WALLER ELEMENTARY SCHOOL,197,59,47,54,30,8,0.29949238578680204,0.23857868020304568,0.27411167512690354,0.15228426395939088,0.04060913705583756,196,53,49,52,30,13,0.27040816326530615,0.25,0.2653061224489796,0.15306122448979592,0.0663265306122449
03,BAY,0262,NA,54,49,55,158,3,53,99,B,B,B,B,A,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NO,YES,N,01,25.2,85.2,Elementary,NA,NA,NA,NA,WEST BAY ELEMENTARY SCHOOL,157,41,28,40,39,9,0.2611464968152866,0.17834394904458598,0.25477707006369427,0.2484076433121019,0.05732484076433121,154,38,39,40,27,10,0.24675324675324675,0.2532467532467532,0.2597402597402597,0.17532467532467533,0.06493506493506493
03,BAY,0461,NA,42,53,49,144,3,48,99,C,C,NA,C,C,C,C,B,B,A,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NO,NO,N,01,23.5,56.8,Elementary,NA,NA,NA,NA,DEER POINT ELEMENTARY SCHOOL,301,95,70,80,41,14,0.31561461794019935,0.23255813953488372,0.26578073089701,0.1362126245847176,0.046511627906976744,302,81,61,71,48,39,0.2682119205298013,0.20198675496688742,0.23509933774834438,0.15894039735099338,0.1291390728476821
03,BAY,0471,NA,42,43,42,127,3,42,100,C,B,NA,B,C,C,C,C,C,B,A,A,B,A,A,A,A,A,A,A,A,A,C,C,N,NA,NO,YES,N,01,49.5,99.5,Elementary,NA,NA,NA,NA,NORTHSIDE ELEMENTARY SCHOOL,293,103,71,69,39,13,0.3515358361774744,0.24232081911262798,0.2354948805460751,0.13310580204778158,0.04436860068259386,293,110,63,64,40,14,0.37542662116040953,0.2150170648464164,0.21843003412969283,0.13651877133105803,0.04778156996587031
03,BAY,0511,NA,40,46,47,133,3,44,100,C,C,NA,B,B,B,B,C,C,C,B,A,B,A,A,A,B,A,B,A,C,C,A,C,N,NA,NO,YES,N,01,28,86.9,Elementary,NA,NA,NA,NA,TOMMY SMITH ELEMENTARY SCHOOL,302,82,81,78,38,22,0.271523178807947,0.2682119205298013,0.2582781456953642,0.12582781456953643,0.0728476821192053,302,93,62,73,53,22,0.3079470198675497,0.2052980132450331,0.24172185430463577,0.17549668874172186,0.0728476821192053
03,BAY,0521,NA,65,62,62,189,3,63,99,A,A,NA,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,C,N,NA,NO,NO,N,01,28.2,43.7,Elementary,NA,NA,NA,NA,PATRONIS ELEMENTARY SCHOOL,308,34,70,86,72,46,0.11038961038961038,0.22727272727272727,0.2792207792207792,0.23376623376623376,0.14935064935064934,308,55,59,81,66,47,0.17857142857142858,0.19155844155844157,0.262987012987013,0.21428571428571427,0.1525974025974026
03,BAY,0611,NA,64,50,NA,114,2,57,100,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NO,NO,N,01,40.5,37.1,Elementary,NA,NA,NA,NA,A. GARY WALSINGHAM ACADEMY,34,5,11,8,4,6,0.14705882352941177,0.3235294117647059,0.23529411764705882,0.11764705882352941,0.17647058823529413,34,4,13,8,6,3,0.11764705882352941,0.38235294117647056,0.23529411764705882,0.17647058823529413,0.08823529411764706
03,BAY,0701,NA,58,69,57,184,3,61,100,B,B,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,NA,NA,NA,NA,N,NA,YES,NO,N,01,30.3,37.5,Elementary,NA,NA,NA,NA,BAY HAVEN CHARTER ACADEMY,388,54,98,106,91,39,0.13917525773195877,0.25257731958762886,0.27319587628865977,0.2345360824742268,0.10051546391752578,388,36,69,107,107,70,0.09278350515463918,0.17783505154639176,0.2757731958762887,0.2757731958762887,0.18041237113402062
03,BAY,0751,NA,63,78,57,198,3,66,100,A,A,NA,A,B,A,B,A,A,B,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,YES,NO,N,01,25.9,33.80000000000001,Elementary,NA,NA,NA,NA,NORTH BAY HAVEN CHARTER ACADEMY ELEM SCHOOL,372,49,79,89,110,45,0.13172043010752688,0.21236559139784947,0.239247311827957,0.2956989247311828,0.12096774193548387,371,23,53,100,101,95,0.06199460916442048,0.14285714285714285,0.2695417789757412,0.2722371967654987,0.2560646900269542
03,BAY,0801,NA,50,50,26,126,3,42,100,C,A,NA,C,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,YES,YES,N,01,58.9,100,Elementary,NA,NA,NA,NA,PALM BAY ELEMENTARY SCHOOL,132,24,37,43,19,10,0.18181818181818182,0.2803030303030303,0.32575757575757575,0.14393939393939395,0.07575757575757576,132,28,36,35,24,9,0.21212121212121213,0.2727272727272727,0.26515151515151514,0.18181818181818182,0.06818181818181818
04,BRADFORD,0051,NA,42,56,28,126,3,42,100,C,B,NA,C,C,C,C,F,C,C,B,A,C,A,C,B,B,B,C,C,C,B,C,D,N,NA,NO,YES,N,01,35.4,100,Elementary,NA,NA,NA,NA,STARKE ELEMENTARY SCHOOL,235,69,57,60,43,5,0.2936170212765957,0.2425531914893617,0.2553191489361702,0.1829787234042553,0.02127659574468085,235,48,45,67,55,20,0.20425531914893616,0.19148936170212766,0.2851063829787234,0.23404255319148937,0.0851063829787234
