school_name,school_number,informational_baseline_grade_2023,type,pov_share
YATES ELEMENTARY SCHOOL,4961,D,Elementary,0.196293498426802
ADAMS MIDDLE SCHOOL,0041,D,Middle,0.274350058139492
GIUNTA MIDDLE SCHOOL,0052,C,Middle,0.216615219178047
SHIELDS MIDDLE SCHOOL,0055,D,Middle,0.273483699145114
SERGEANT PAUL R SMITH MIDDLE SCHOOL,0074,B,Middle,0.17168717341702
PIERCE MIDDLE SCHOOL,0082,C,Middle,0.140700549918661
BARRINGTON MIDDLE SCHOOL,0086,A,Middle,0.114979369116408
BENITO MIDDLE SCHOOL,0201,A,Middle,0.128973320936708
STEWART MIDDLE MAGNET SCHOOL,0284,C,Middle,0.465871066267809
MCLANE MIDDLE SCHOOL,0322,C,Middle,0.254922206287248
BUCHANAN MIDDLE SCHOOL,0561,C,Middle,0.262586305654182
BURNETT MIDDLE SCHOOL,0631,C,Middle,0.205414092776779
BURNS MIDDLE SCHOOL,0651,B,Middle,0.103749168464648
DOWDELL MIDDLE MAGNET SCHOOL,0842,C,Middle,0.224713492874498
COLEMAN MIDDLE SCHOOL,0921,A,Middle,0.0395323896181567
DAVIDSEN MIDDLE SCHOOL,1080,B,Middle,0.149812771664978
EISENHOWER MIDDLE SCHOOL,1324,D,Middle,0.0774505439707592
FARNELL MIDDLE SCHOOL,1441,A,Middle,0.0856505920620895
SLIGH MIDDLE SCHOOL,1482,D,Middle,0.286483729775617
FRANKLIN MIDDLE MAGNET SCHOOL,1542,B,Middle,NA
GRECO MIDDLE MAGNET SCHOOL,1781,C,Middle,0.250966687528357
HILL MIDDLE SCHOOL,1871,B,Middle,0.0339948005158034
JENNINGS MIDDLE SCHOOL,2042,C,Middle,0.285670864897332
MONROE MIDDLE MAGNET SCHOOL,2362,I,Middle,0.192575382793177
LIBERTY MIDDLE SCHOOL,2471,B,Middle,0.116748727591204
MADISON MIDDLE SCHOOL,2651,C,Middle,0.19660435617777
MANN MIDDLE SCHOOL,2801,C,Middle,0.154278098723362
MARSHALL MIDDLE MAGNET SCHOOL,2841,C,Middle,0.212838878249777
MARTINEZ MIDDLE SCHOOL,2851,A,Middle,0.0351787712842982
MEMORIAL MIDDLE SCHOOL,2882,C,Middle,0.230354915802273
FERRELL MIDDLE MAGNET SCHOOL,3001,A,Middle,NA
MULRENNAN MIDDLE SCHOOL,3131,B,Middle,0.128306003224177
ORANGE GROVE MIDDLE MAGNET SCHOOL,3241,C,Middle,NA
TOMLIN MIDDLE SCHOOL,3442,C,Middle,0.267001848753316
PROGRESS VILLAGE MIDDLE MAGNET,3561,B,Middle,NA
RANDALL MIDDLE SCHOOL,3620,A,Middle,0.0567534539028072
RODGERS MIDDLE MAGNET SCHOOL,3771,C,Middle,0.148393205350623
WEBB MIDDLE SCHOOL,4442,C,Middle,0.111026015927356
TURKEY CREEK MIDDLE SCHOOL,4522,C,Middle,0.168003850247327
WALKER MIDDLE MAGNET SCHOOL,4611,A,Middle,NA
WILLIAMS MIDDLE MAGNET SCHOOL,4741,A,Middle,NA
WILSON MIDDLE SCHOOL,4761,A,Middle,0.0294157463030672
YOUNG MIDDLE MAGNET SCHOOL,5041,C,Middle,NA
