y,d,s,g,c,fixorder,sub,inexp_tot,exp_tot,total_unk_tot,total_tot,inexp_r_tot,ineff_tot,otheval_tot,noeval_tot,ineff_r_tot,temponly_tot
2223,29,0009,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0009,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,24,46,0,70,34.3,2,64,4,2.86,10
1718,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,0,2,2,0,0,0,2,0,
1819,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,15,47,0,62,24.2,2,55,5,3.23,5
1819,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,1,1,2,0,0,0,2,0,
1920,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,13,48,0,61,21.3,0,0,61,0,5
1920,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,1,1,2,0,0,0,2,0,
2021,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,12,45,0,57,21.1,0,53,4,0,1
2021,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0042,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2122,29,0042,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,15,41,0,56,26.8,0,49,7,0,5
2122,29,0042,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0042,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,0042,School Chart,High Minority/High Poverty/Title I,10,Teachers,21,30,0,51,41.2,0,46,5,0,6
2223,29,0042,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0042,School Chart,High Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,0051,School Chart,High Minority/High Poverty/Title I,10,Teachers,9,21,0,30,30,0,26,4,0,1
1718,29,0051,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0051,School Chart,High Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,0051,School Chart,High Minority/High Poverty/Title I,10,Teachers,8,24,0,32,25,1,28,3,3.13,3
1819,29,0051,School Chart,High Minority/High Poverty/Title I,10,Principals,0,2,0,2,0,0,0,2,0,
1819,29,0051,School Chart,High Minority/High Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1920,29,0051,School Chart,High Minority/High Poverty/Title I,10,Teachers,7,24,0,31,22.6,0,0,31,0,3
1920,29,0051,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0051,School Chart,High Minority/High Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2021,29,0051,School Chart,High Minority/High Poverty/Title I,10,Teachers,5,25,0,30,16.7,0,27,3,0,1
2021,29,0051,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0051,School Chart,High Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2122,29,0051,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,5,21,0,26,19.2,0,23,3,0,3
2122,29,0051,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0051,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,0051,School Chart,High Minority/High Poverty/Title I,10,Teachers,8,16,0,24,33.3,0,21,3,0,4
2223,29,0051,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0051,School Chart,High Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,14,45,0,59,23.7,0,53,6,0,4
1718,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1819,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,15,41,0,56,26.8,0,53,3,0,2
1819,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1920,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,11,48,0,59,18.6,0,0,59,0,3
1920,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2021,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,15,43,0,58,25.9,0,53,5,0,7
2021,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2122,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,10,41,0,51,19.6,0,47,4,0,3
2122,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0054,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2223,29,0054,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,12,35,0,47,25.5,0,42,5,0,4
2223,29,0054,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0054,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,9,59,0,68,13.2,0,63,5,0,4
1718,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,11,53,0,64,17.2,0,60,4,0,3
1819,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
1920,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,8,54,0,62,12.9,0,0,62,0,1
1920,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2021,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,7,48,0,55,12.7,0,47,8,0,1
2021,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0056,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2122,29,0056,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,7,42,0,49,14.3,1,41,7,2.04,3
2122,29,0056,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0056,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
2223,29,0056,School Chart,High Minority/High Poverty/Title I,10,Teachers,7,38,0,45,15.6,0,40,5,0,2
2223,29,0056,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,1,0,0,
2223,29,0056,School Chart,High Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,4,65,0,69,5.8,0,66,3,0,1
1718,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
1819,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,1,67,0,68,1.5,0,67,1,0,1
1819,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
1920,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,3,66,0,69,4.3,0,0,69,0,1
1920,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
2021,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,2,67,0,69,2.9,0,66,3,0,0
2021,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,0,2,0,2,0,0,0,2,0,
2122,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,3,60,0,63,4.8,0,61,2,0,1
2122,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
2223,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Teachers,3,66,0,69,4.3,0,67,2,0,2
2223,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0059,School Chart,Low Minority/Low Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
1718,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,6,21,0,27,22.2,0,27,0,0,2
1718,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,7,18,0,25,28,0,25,0,0,2
1819,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
1920,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,8,18,0,26,30.8,0,0,26,0,1
1920,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2021,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,6,22,0,28,21.4,0,28,0,0,2
2021,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2122,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,8,20,0,28,28.6,0,27,1,0,1
2122,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,6,22,0,28,21.4,0,27,1,0,1
2223,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0060,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
1718,29,0065,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,23,47,0,70,32.9,0,68,2,0,1
1718,29,0065,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0065,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,1,0,1,2,50,0,0,2,0,
1819,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,16,49,0,65,24.6,0,62,3,0,3
1819,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,1,1,2,0,0,0,2,0,
1920,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,8,59,0,67,11.9,0,0,67,0,0
1920,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,1,1,2,0,0,0,2,0,
2021,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,3,59,0,62,4.8,0,57,5,0,0
2021,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2122,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,7,62,0,69,10.1,0,64,5,0,2
2122,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0065,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,0065,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,5,60,0,65,7.7,0,61,4,0,3
2223,29,0065,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0065,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,6,41,0,47,12.8,0,46,1,0,1
1718,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,5,39,0,44,11.4,0,41,3,0,1
1819,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1920,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,8,35,0,43,18.6,0,0,43,0,4
1920,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2021,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,8,36,0,44,18.2,0,40,4,0,6
2021,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,1,0,0,
2122,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,9,31,0,40,22.5,0,36,4,0,3
2122,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0070,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,0070,School Chart,Mid-Range Minority/High Poverty/Title I,10,Teachers,7,33,0,40,17.5,0,35,5,0,2
2223,29,0070,School Chart,Mid-Range Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0070,School Chart,Mid-Range Minority/High Poverty/Title I,10,Other,0,0,1,1,0,0,0,1,0,
1718,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,8,50,0,58,13.8,0,57,1,0,0
1718,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
1819,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,5,48,0,53,9.4,0,52,1,0,0
1819,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,2,0,2,0,0,0,2,0,
1819,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
1920,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,4,51,0,55,7.3,0,0,55,0,1
1920,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
2021,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,2,50,0,52,3.8,0,49,3,0,2
2021,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
2122,29,0072,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Teachers,2,46,0,48,4.2,0,45,3,0,2
2122,29,0072,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0072,School Chart,Mid-Range Minority/Low Poverty/Non-Title I,10,Other,0,0,1,1,0,0,0,1,0,
2223,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,4,34,0,38,10.5,0,36,2,0,2
2223,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,1,0,0,1,100,0,0,1,0,
2223,29,0072,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
1718,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,6,42,0,48,12.5,0,46,2,0,0
1718,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1819,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,4,41,0,45,8.9,0,41,4,0,0
1819,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1920,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,5,39,0,44,11.4,0,0,44,0,0
1920,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2021,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,5,39,0,44,11.4,0,40,4,0,0
2021,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2122,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Teachers,5,35,0,40,12.5,0,37,3,0,1
2122,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0081,School Chart,High Minority/Mid-Range Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
2223,29,0081,School Chart,High Minority/High Poverty/Title I,10,Teachers,4,33,0,37,10.8,0,35,2,0,3
2223,29,0081,School Chart,High Minority/High Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2223,29,0081,School Chart,High Minority/High Poverty/Title I,10,Other,0,1,0,1,0,0,0,1,0,
1718,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,10,49,0,59,16.9,0,57,2,0,1
1718,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1718,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,1,0,0,1,100,0,0,1,0,
1819,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,3,51,0,54,5.6,0,52,2,0,1
1819,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1819,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
1920,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,8,49,0,57,14,0,0,57,0,3
1920,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
1920,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
2021,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Teachers,12,49,0,61,19.7,0,58,3,0,5
2021,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2021,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Non-Title I,10,Other,0,1,0,1,0,0,0,1,0,
2122,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Teachers,13,47,0,60,21.7,0,57,3,0,5
2122,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Principals,0,1,0,1,0,0,0,1,0,
2122,29,0084,School Chart,Mid-Range Minority/Mid-Range Poverty/Title I,10,Other,1,0,0,1,100,0,0,1,0,
